x,y,z,form0_x,form0_y,form0_z,form1_x,form1_y,form1_z,form2_x,form2_y,form2_z
-1.95387,-2.27208,0.0816387,-4.91274,3.93724,0.918666,1.1494,-0.553513,3.81958,-0.313741,-0.936879,0.985612
-0.306213,2.45033,-0.882991,5.79854,1.49606,-0.011136,-1.82673,4.3531,2.12268,-0.930259,2.96212,-2.09267
0.967313,0.254681,0.0236018,1.22948,-5.17923,-0.757257,0.0376622,0.918496,-6.81508,-0.436266,0.160053,-0.948179
1.07415,0.111949,0.391847,0.120294,-5.74677,-0.579494,-2.8233,0.591998,-6.3499,-0.976702,0.122924,-0.0172143
0.463675,-1.10426,-0.596871,-4.95339,-3.08894,-0.810515,1.78718,-3.05558,-5.35122,0.968471,-0.156329,-1.74716
2.20874,-1.34864,-0.808913,-2.91679,-6.26267,0.0333486,4.24416,-0.446026,1.95444,2.64224,-1.29948,-0.811574
-1.36669,-1.0828,0.966583,-2.66533,5.46381,-0.199757,4.49557,3.02723,-1.50224,0.63258,-0.333908,1.05546
-0.24283,-1.8745,0.993949,-5.82136,1.60314,0.203069,1.12672,4.93569,-0.53099,1.22738,0.220673,1.14214
-2.84183,-0.79907,0.305993,-1.18359,5.96376,1.21316,1.34107,-0.550063,3.44942,-1.13779,-0.9234,0.408971
1.74146,-0.752654,0.994696,-2.56344,-4.92651,-0.00748791,-3.92517,2.14612,-0.469129,-0.377005,0.854872,0.527684
1.1719,-2.66874,0.404124,-4.86803,-2.31155,0.785004,0.0108112,2.40429,3.37294,1.11268,-0.409401,1.18005
2.96566,0.0510337,0.258162,-0.0975419,-5.61361,0.282267,-1.88228,1.66078,4.77856,2.71051,2.15243,0.890203
0.658751,-0.82327,-0.325288,-4.15349,-3.65623,-0.839427,1.64197,-1.68541,-6.04098,0.660913,0.285056,-1.60578
2.35053,0.503516,0.914823,0.683356,-6.2261,0.457858,-4.56546,0.0316091,1.34961,0.277825,1.92637,1.24015
-0.368816,-2.86951,0.44983,-5.76828,1.33363,0.56092,1.96684,2.15716,4.18895,0.335554,-0.713365,1.45064
1.29069,2.55912,-0.499738,4.89384,-2.35444,0.151076,-1.53509,2.7419,3.78031,-0.160451,2.20015,-0.456796
1.6932,-1.96544,0.804316,-4.49327,-3.70089,0.46705,-1.33912,3.54702,2.55782,1.67276,0.259504,0.965247
-2.73227,-0.72833,0.561204,-0.897221,6.06606,1.04405,2.33824,-0.263118,3.05166,-0.852414,-1.03461,0.556437
-0.916684,2.83874,-0.183195,4.91721,1.34567,0.781399,-1.85251,0.283377,4.52357,-1.9764,2.27309,-1.0105
-1.32792,0.701098,-0.866967,2.15231,6.14114,-0.741944,-4.85856,1.99059,-2.73329,-1.42026,-0.236887,-1.67263
1.81906,0.32714,-0.988418,2.14019,-6.70765,-0.228914,5.08193,2.00862,-0.258689,1.92929,0.425722,-1.36069
0.76556,0.758696,-0.386766,3.79307,-3.70234,-0.84627,1.2574,1.80215,-6.42517,0.00341309,-0.282939,-1.26232
-1.38891,-2.55007,0.427994,-5.45828,3.26285,0.576191,2.28854,1.42204,3.5002,0.299988,-0.871194,1.5848
-1.53249,-2.03281,-0.837949,-6.04325,3.41033,0.313171,-1.0836,-2.94982,2.69054,-1.14668,-0.783508,-0.515042
-0.84561,-0.74915,0.492569,-3.02729,4.33877,-1.38554,1.72585,1.68637,-6.33925,0.848075,0.206381,-0.298389
-0.908174,0.814174,0.6254,4.86551,3.80543,-0.960946,2.39506,-3.47128,-5.02425,0.408661,-0.621431,0.185138
2.65944,-0.0466261,0.751395,-0.407794,-6.15188,0.392658,-3.59774,0.896032,2.5677,1.23687,1.81969,0.952301
2.73749,-0.331238,0.652881,-1.01091,-6.05824,0.319813,-3.01922,1.38152,3.2818,1.83988,1.6807,0.770043
-0.397863,-0.928065,-0.139321,-4.96385,1.99605,-1.48272,-0.175403,-1.03271,-7.18835,0.813263,-0.0535909,-1.52338
-0.639216,-0.885165,-0.418623,-4.6706,2.95949,-1.47525,-1.01085,-1.70442,-6.68255,0.616314,-0.325061,-1.6209
-0.379778,-0.932515,-0.117135,-4.97593,1.94582,-1.47476,-0.123773,-0.942218,-7.18803,0.809586,-0.02688,-1.50027
-0.951705,0.798243,-0.652428,2.99646,5.32865,-1.15504,-3.85949,2.11452,-5.01837,-1.04728,-0.411634,-1.73746
1.79671,2.04046,-0.695265,4.76503,-3.44159,0.082444,-0.613137,3.67645,3.41236,0.932511,1.67256,-0.513563
-0.17825,-0.98434,-0.0264167,-5.1631,1.21865,-1.34667,0.23914,-0.263001,-7.01836,0.712154,0.204642,-1.31774
-1.25857,-0.202211,0.688441,0.272212,5.88802,-1.06533,3.66924,0.0642982,-4.27741,0.737746,-0.300758,0.0833245
-0.723818,1.82007,0.999147,7.51075,2.16129,-0.128499,1.53982,-6.06884,-0.792141,-0.120654,0.39886,1.08637
-1.64384,0.146687,0.936887,1.88807,6.64913,-0.50842,5.65497,-1.36532,-1.62855,0.413081,-0.369488,0.601111
0.823865,-0.686038,-0.372835,-3.48354,-4.32489,-0.773686,1.85705,-1.20375,-5.89303,0.595106,0.389346,-1.59281
2.08813,-0.918554,-0.959638,-2.32288,-6.53263,-0.0636804,4.79022,-0.398679,1.35949,2.52583,-1.02706,-1.06139
-0.669087,0.83199,0.361566,4.44456,2.7645,-1.18038,0.826806,-1.9974,-6.80847,0.0566021,-1.03916,-0.632804
-2.6727,-1.2892,0.253326,-2.09069,5.53769,1.61929,0.971213,-0.337422,3.81792,-0.767298,-0.84105,0.529042
-1.03809,2.14043,0.925445,6.85616,2.34488,0.292349,1.16488,-5.19121,1.22139,-0.670067,0.826434,1.19425
-2.35767,-1.58716,0.539282,-2.65798,5.29908,1.31817,3.03438,0.918647,3.11648,0.395109,-1.49422,1.22409
-0.787021,1.27688,0.865994,6.94644,2.82625,-0.529439,2.25599,-5.64188,-2.7962,0.31915,-0.157506,0.815531
-1.24256,1.00682,-0.916192,3.02543,5.72326,-0.660942,-4.50768,2.70962,-2.38882,-1.396,0.0375742,-1.69723
0.893592,-0.736653,-0.539613,-3.60197,-4.52533,-0.71113,2.45887,-1.66638,-5.22501,0.876047,0.198509,-1.68064
0.211043,1.46034,-0.851415,6.38232,0.114294,-0.607033,-0.73525,4.75922,-2.72888,0.0659529,1.20515,-1.65593
-0.744019,-0.72726,0.281433,-3.28864,4.05425,-1.62417,0.998467,1.19834,-7.28516,0.923114,0.179593,-0.672818
2.39414,1.39597,0.636361,2.64687,-5.23402,0.431303,-3.98887,0.326803,3.44218,1.0249,2.41116,1.49058
0.850286,-1.48758,0.958062,-5.85948,-2.6748,-0.393892,-1.99802,4.6058,-2.07458,0.535513,1.16078,0.288017
0.231538,-0.975262,-0.0688123,-5.1311,-1.43255,-1.0832,0.46204,-0.370195,-6.71916,0.391291,0.450205,-1.33097
0.0667547,0.997928,0.0178121,5.11009,-0.404367,-1.01026,-0.996352,0.4282,-6.71918,-0.642674,-0.905006,-0.945542
1.45576,-1.42885,0.999207,-4.77313,-3.89573,-0.0367493,-2.39084,3.85571,0.371926,1.08089,0.786239,0.541635
2.29127,0.883416,-0.890145,2.91409,-6.06851,-0.0278174,2.95114,2.93019,2.52659,2.38054,0.899849,-0.508339
-0.559627,0.931296,0.406851,4.7498,2.33514,-1.12458,0.67852,-2.1264,-6.66735,-0.025418,-1.03335,-0.622191
1.5037,2.07733,-0.825466,5.19006,-3.08613,0.00639886,-0.469925,4.10581,2.7938,0.81827,1.66713,-0.853254
-1.81093,0.584141,0.995266,3.14863,6.10567,-0.276686,5.09907,-2.83596,-0.801553,0.0639076,-0.272063,1.02899
0.84203,-2.81078,-0.356767,-6.05974,-2.02695,0.575467,1.34097,-1.09561,3.55871,-0.299226,-1.28936,0.313036
0.335234,2.74261,0.646372,7.05232,-0.717746,0.608401,-1.55206,-4.38915,3.5066,-1.92982,3.32058,0.736066
2.00798,0.680745,-0.992745,2.90784,-6.37302,-0.146525,4.25064,2.62299,0.853158,2.11489,0.66403,-1.04895
-2.46985,1.6887,0.126495,2.48083,4.2575,1.0897,-0.146649,-1.06096,3.80963,-1.80066,-0.420777,1.68219
0.663067,1.97765,0.996309,6.79063,-3.06698,0.183646,-2.664,-5.11615,0.465329,-1.27991,1.43717,1.0915
2.26194,1.45053,-0.726584,3.51162,-5.24837,0.111673,0.94226,3.30916,3.72153,2.17872,1.34894,-0.0359052
-1.23564,-0.682665,0.808629,-1.55488,5.6803,-0.761896,3.88065,2.01161,-3.00349,0.368529,0.21342,0.482032
-0.876943,2.77614,-0.411632,4.86776,1.37771,0.705382,-2.00102,0.98456,4.4041,-1.93082,2.40688,-1.31696
-1.36666,-2.56148,-0.429091,-6.17358,2.7527,0.451231,0.362471,-1.84825,3.65216,-0.747609,-0.804749,0.193826
0.720567,2.19492,-0.950682,6.29659,-1.38458,-0.184378,-0.948616,5.24502,1.40524,0.480946,2.09692,-1.56067
1.12674,-0.428892,0.607404,-2.3829,-5.00947,-0.589187,-3.10086,1.61492,-5.27617,-0.809288,0.67103,0.0635552
-1.73996,1.97084,-0.777402,3.46676,4.8421,0.639691,-3.08547,2.50683,2.89648,-1.66839,0.499906,-0.477497
0.816701,0.637579,0.26627,3.02086,-4.38391,-0.833168,-1.54629,0.127135,-6.67157,-0.880914,-0.436541,-0.397323
-1.86057,-1.95919,0.712295,-4.05374,4.41542,0.9537,2.68262,1.26159,3.0512,0.415673,-1.15109,1.46718
2.33032,-1.14789,-0.801723,-2.61262,-6.3412,0.0208421,4.32038,-0.281883,1.95733,2.66313,-1.23434,-0.827734
-2.23758,0.879791,-0.914616,1.49099,6.57344,0.35029,-4.66151,1.21246,2.10575,-2.21003,-0.325501,-0.76389
2.55116,-0.748304,0.752456,-2.01912,-6.15187,0.245054,-3.03677,1.72062,2.82928,1.7721,1.1659,0.520708
-2.66848,0.00174684,-0.743734,-0.628514,6.49121,0.540705,-2.87264,-1.58329,3.25114,-2.79168,-0.785259,-0.462055
-0.897979,0.45592,-0.118867,2.3836,4.53465,-1.48319,-1.25699,-0.0695158,-7.20115,-0.139078,-0.896659,-1.17014
-1.42679,-1.34345,-0.999189,-6.22135,4.12363,-0.339327,-3.07908,-4.20899,-0.36134,-1.26671,-0.906779,-1.78999
1.88515,-0.058099,0.993486,-0.26045,-6.42596,0.275955,-4.80819,0.0393452,-1.06895,-0.607484,1.21659,0.973937
2.1023,-0.698538,0.976545,-2.21424,-5.6221,0.151335,-3.60657,1.84221,1.06927,0.593168,0.995727,0.554789
-2.49833,0.640706,-0.815202,0.678756,6.58716,0.470464,-3.84481,-0.249385,2.90507,-2.6662,-0.648647,-0.487039
0.0578519,-1.19037,-0.588871,-6.12935,-0.607007,-0.862226,0.238955,-3.8091,-4.99201,0.795483,-0.645992,-1.93116
-2.59905,0.0420918,0.800459,0.696042,6.31067,0.44168,3.42082,-1.14675,2.06543,-0.984557,-0.811578,0.741059
-1.31203,-0.244411,0.746485,0.207284,5.95352,-0.992326,3.89641,0.174997,-3.93075,0.695802,-0.270446,0.158377
0.586992,-2.56647,-0.774361,-6.63609,-2.19281,0.352219,1.36911,-2.52742,2.82664,-0.325942,-1.41254,-0.379106
-0.876652,0.521013,0.197964,3.07569,4.08344,-1.38121,0.371397,-1.06317,-7.02259,0.16265,-0.937686,-0.764805
-0.144155,-1.47394,0.854758,-6.03032,0.94498,-0.421526,0.844021,5.08437,-3.78597,0.648109,1.05054,0.417212
-0.352711,-1.41585,0.841101,-5.58507,2.00513,-0.468836,1.60605,4.77547,-3.82373,0.687896,0.861432,0.573989
2.23196,-1.01521,-0.892019,-2.43839,-6.44363,-0.0153773,4.5764,-0.31948,1.73516,2.62051,-1.1601,-0.932073
0.781115,0.688058,0.283218,3.16781,-4.26766,-0.83874,-1.60251,0.0530934,-6.6382,-0.903417,-0.46929,-0.38071
-0.387549,-2.92222,-0.318839,-6.58469,0.854416,0.443323,0.96865,-0.717359,3.89656,-0.437319,-0.891267,0.143517
1.45362,-0.712982,0.924599,-3.12934,-4.68246,-0.302593,-3.76927,2.41263,-2.23424,-0.500949,0.912253,0.414004
1.99941,-0.408477,-0.999171,-0.56226,-6.82894,-0.163126,5.07739,0.572459,0.808294,2.30206,-0.310862,-1.1892
1.76995,0.164015,0.97494,0.120388,-6.47357,0.241293,-4.95472,-0.267634,-1.42376,-0.74976,1.19664,1.01417
1.38301,-1.596,-0.993725,-5.01694,-5.73803,-0.1886,4.34447,-2.92953,0.771992,1.9582,-1.24356,-1.28989
2.97302,-0.352921,0.110346,-0.460625,-5.72133,0.247191,-1.655,1.65654,4.55912,2.70484,1.86764,0.75184
2.5889,-0.713311,0.728198,-1.93077,-6.15422,0.253004,-3.03241,1.68274,2.8854,1.78877,1.21171,0.540489
1.15357,1.56209,0.998309,5.45229,-4.66446,0.096463,-4.05355,-4.26905,-0.287467,-1.25336,1.21043,1.3342
2.64536,-0.459483,-0.728573,-0.0646885,-6.37297,-0.0939609,3.21279,1.2351,3.07608,2.76598,0.159551,-0.400985
1.20165,-0.994913,0.898032,-4.84271,-3.82841,-0.656595,-3.35855,3.6242,-3.19925,-0.271011,1.15503,0.25969
0.441578,-0.903185,0.103327,-4.93116,-2.17637,-1.03974,0.211901,0.528049,-6.75982,0.13233,0.730196,-1.14665
-2.76025,0.348914,0.623007,1.0353,6.06993,0.522875,2.22128,-1.79034,2.53213,-1.53562,-0.6899,0.820396
0.120087,1.07983,-0.406803,5.43098,0.270803,-0.971518,-0.858099,2.80799,-6.14373,-0.377353,-0.311615,-1.37763
0.904194,-2.67486,0.567241,-5.11764,-1.60454,0.736137,-0.147233,2.68463,3.03403,1.0733,-0.373666,1.11041
2.3319,-1.21542,0.776892,-2.98773,-5.73251,0.172349,-2.48885,2.29957,2.66209,1.91912,0.673608,0.414956
-0.234205,2.30294,-0.949151,5.89237,1.44701,-0.0759072,-1.77759,4.61845,1.83969,-0.808799,2.93128,-2.11673
-1.97757,-0.493664,0.999268,-0.453909,6.37022,0.181234,5.192,0.85314,0.705924,0.205019,-1.07525,0.843254
-2.73954,1.03022,0.375437,1.85553,4.8761,0.842894,1.12785,-1.989,3.22967,-1.80039,-0.513624,1.67021
1.08702,-0.50305,-0.597023,-2.20753,-5.50502,-0.583516,3.18736,-0.591154,-4.51663,0.911753,0.291403,-1.6888
2.52149,0.656039,0.795897,1.16377,-5.91436,0.460681,-4.24698,0.27511,2.32908,0.72343,2.16161,1.31929
-0.332298,-2.92663,0.3258,-5.82367,1.24875,0.559845,1.89999,1.88561,4.25004,0.241814,-0.740459,1.35542
-1.87033,-1.63587,-0.87463,-5.21611,4.75108,0.25237,-3.03115,-3.3126,2.23472,-1.82415,-0.636064,-1.07365
1.18248,0.213008,0.602013,0.2814,-5.85906,-0.49099,-3.51818,0.33935,-5.8537,-1.09165,0.146549,0.251392
-0.511919,-2.61389,-0.748134,-7.34061,0.430205,0.322532,-0.444026,-2.76952,2.6251,-0.66805,-0.970753,-1.20471
1.95261,0.196859,-0.999297,1.52418,-6.86366,-0.200636,5.14738,1.74457,0.329056,2.09251,0.278052,-1.25837
0.115017,-2.30038,0.952911,-5.62456,0.473872,0.552763,-0.174141,3.98672,1.28393,1.59063,-0.180163,0.994506
-2.85216,-0.229135,0.508021,-0.0812218,6.26153,0.729397,1.94067,-1.02199,2.92871,-1.44665,-0.906334,0.463347
2.23282,-1.06607,0.880383,-2.88395,-5.73531,0.163984,-2.79127,2.30335,2.39111,1.68263,0.782734,0.432311
0.915563,0.403615,0.0340472,2.05727,-4.83785,-0.801131,-0.182919,0.852255,-6.84629,-0.502345,-0.0863497,-0.853349
0.745554,-1.15359,0.779455,-5.7903,-2.73754,-0.711022,-1.95101,4.22242,-3.89646,0.0448387,1.32292,-0.00767798
2.27698,1.01418,-0.870239,3.11504,-5.91668,0.000716405,2.58471,3.08221,2.77427,2.36841,0.991354,-0.414424
-0.56889,0.844953,0.192065,4.38425,2.5471,-1.21638,0.338128,-1.47067,-7.11998,-0.078896,-1.10313,-0.827834
-0.958683,0.448926,-0.337258,1.963,5.01443,-1.4697,-2.53194,0.531802,-6.80298,-0.426518,-0.783884,-1.42442
1.21171,-0.262371,0.649676,-1.61671,-5.38712,-0.498957,-3.42751,1.21244,-5.21632,-0.921143,0.539791,0.196558
-1.87751,-0.773985,-0.999526,-4.21091,5.99514,-0.247607,-4.95682,-3.1111,0.484165,-2.15989,-0.489512,-1.60141
-0.0905007,1.62317,-0.927304,6.31068,0.907094,-0.551413,-1.21183,4.85237,-2.12952,-0.1824,1.47891,-1.75202
0.0840289,1.60511,-0.919671,6.46267,0.477886,-0.569436,-0.967566,4.95379,-2.29138,-0.0117709,1.43442,-1.71141
1.62904,-1.38043,-0.990809,-4.25077,-6.30816,-0.166271,4.93009,-2.25071,0.740236,2.29878,-1.22417,-1.3538
0.180664,1.18244,0.594848,6.1161,-1.64885,-0.711416,-1.44384,-3.33444,-4.65502,-1.12036,-0.348607,-0.12064
1.93784,1.92703,0.680349,4.55239,-4.33342,0.380111,-3.67696,-1.99115,2.70166,-0.327253,1.88619,1.30083
-0.575781,2.34432,-0.910279,5.54345,1.89966,0.0395796,-2.01699,4.08482,2.13945,-1.10999,2.77425,-2.04465
-1.23015,-0.739277,0.825231,-1.65688,5.65917,-0.735032,3.9072,2.11664,-2.93083,0.365742,0.220207,0.518272
-1.54826,-0.547435,-0.933796,-3.95521,6.09903,-0.808842,-5.06173,-2.65052,-2.19704,-1.47452,-0.519616,-1.76981
1.09834,-2.78889,-0.0724074,-5.58001,-2.28428,0.648578,1.1398,-0.0853193,3.59426,0.227862,-1.05842,0.646606
-1.58016,-0.631103,-0.954419,-4.11493,6.06834,-0.734856,-5.07782,-2.80501,-1.79925,-1.58363,-0.517192,-1.77009
-0.677281,2.75084,-0.553292,5.06728,1.39612,0.555873,-2.02763,1.62825,3.98208,-1.77283,2.61903,-1.51551
-2.55881,1.55929,0.0838132,2.22433,4.32201,1.09142,-0.0857121,-1.17231,3.80924,-1.85981,-0.454046,1.77805
0.500128,-1.09624,-0.60652,-4.89944,-3.21114,-0.802043,1.86982,-3.04287,-5.32259,0.982538,-0.145474,-1.74452
-1.97423,-2.01196,0.574093,-4.09726,4.41846,1.07542,2.30565,0.749664,3.43334,0.258123,-1.17637,1.38712
2.60731,-0.685573,-0.718106,-0.662962,-6.39547,-0.0703119,3.49404,0.898424,2.72483,2.71881,-0.165224,-0.525754
-2.02429,2.17188,-0.247182,3.42921,3.99487,1.07895,-1.44949,0.501084,4.06688,-1.73038,-0.00463374,0.666339
-2.81588,-0.966296,0.21295,-1.57594,5.79277,1.39861,1.05703,-0.499269,3.64047,-1.03244,-0.870279,0.421338
-2.21796,-1.4855,0.742842,-2.37817,5.4734,1.20661,3.74936,1.33612,2.72496,0.635532,-1.6421,1.30488
