coeff_index,form0,form1,form2
0.0,-0.14110423721366067,0.4115313971116222,-1.166041853977081
1.0,-0.010989302758155092,1.1174906265630142,1.9107321166339368
2.0,-0.053145454480210394,-2.214571504280386,0.6412861418745618
3.0,0.6517982244420459,0.009177064982623249,0.19533465034407763
4.0,0.044072576725882794,-0.009039970359527265,-0.1821814472929313
5.0,-0.14075772923285523,-0.020321156821947794,-0.0838789591938862
6.0,0.021776362962688027,0.04990750966481816,-0.15499142882316003
7.0,0.4249595612365388,-0.19815037553978038,0.15274385248608774
8.0,0.5657774398228533,0.17820416797717425,-0.06956989163555394
9.0,-0.014561332465510442,0.10870594946707512,0.24072756527391093
10.0,-0.6411245090422112,0.1118733873621744,0.14833346017174553
11.0,0.5514796826803333,0.12285219661010673,-0.07317915161280956
12.0,0.09323468651283583,-0.32049408306386595,0.14039344529112743
13.0,0.03229187119465739,0.16108843171599457,0.045983665597910534
14.0,0.17202693179836448,-0.17238645450338402,-0.14698788929616421
15.0,-0.08206358087680737,0.05859404653328923,0.07351105725602054
16.0,0.1835461221426092,0.15098760688446486,0.033296159741425364
17.0,-0.049511915808898084,0.12506180724862917,-0.08622285003041766
18.0,-0.07861126190814588,0.11034496754125939,-0.00990565492958405
19.0,0.0029433269522768767,0.006958074622259421,0.04004115321763476
20.0,0.09509160629769416,0.15368264717716543,0.09269465559733822
21.0,0.0032176150825874122,0.07160811840631422,0.04872402911542808
22.0,-0.03319606596779142,-0.14049622533320666,0.10356317384070476
23.0,-0.10276501155932648,-0.040854756473930366,0.08681238377488121
24.0,0.01992515289408045,0.02458055534601738,-0.052477714012057426
25.0,0.05281126982310671,0.026959970130266204,0.041917986362837084
26.0,-0.04091835097947844,-0.16547293788686193,0.14101108914395413
27.0,-0.10442640722510749,0.22875618930448172,0.09059512479824872
28.0,0.08066279392616404,-0.0857187260504289,-0.014690998586397183
29.0,0.029094475042176864,-0.04017895719382638,0.09572508711598632
30.0,0.16453689393228982,0.06567522536625961,0.09493633549992435
