mode,lambda
0.0,0.1788362893383641
1.0,0.18838633032597854
2.0,0.2051164810042994
3.0,0.30091936067543407
4.0,0.31614295071725274
5.0,0.5028632992635153
6.0,0.5473032574413177
7.0,0.6001137915854031
8.0,0.6091362555711783
9.0,0.6272079678153714
10.0,0.6428545007234898
11.0,0.6719958229415172
12.0,0.6896570423211728
13.0,0.7188428967824074
14.0,0.7293398784117646
15.0,0.75962982977684
16.0,0.7863318974994847
17.0,0.8237036426002251
18.0,0.8429934084627728
19.0,0.8685773032507828
20.0,0.9062349705244929
21.0,0.9212870556065053
22.0,0.9346228173879186
23.0,0.9433367596885646
24.0,0.9748705365987903
25.0,0.9883421105646217
26.0,1.0286000777285498
27.0,1.0573592489373327
28.0,1.0729540848453534
29.0,1.100348359362581
30.0,1.120655001109533
31.0,1.14617000189673
32.0,1.1719726142143116
33.0,1.2002889213580907
34.0,1.2466303311915383
35.0,1.2837670743123912
36.0,1.3103487047199525
37.0,1.318820444609769
38.0,1.330318633037227
39.0,1.372686224220139
40.0,1.4041589105246672
41.0,1.4242051274123644
42.0,1.4371476073781793
43.0,1.4956369482119733
44.0,1.5142971723025027
45.0,1.5593549780407112
46.0,1.5652793293470235
47.0,1.5942394962834006
48.0,1.6155155042715108
49.0,1.6346998665601062
50.0,1.6732250613334572
51.0,1.7037875368058883
52.0,1.7360349154477164
53.0,1.775081462091193
54.0,1.809531269903667
55.0,1.8500654546841069
56.0,1.872197603495401
57.0,1.9281317305524097
58.0,1.929758844448703
59.0,1.966152803125993
60.0,1.990178806508707
61.0,2.0473641674903766
62.0,2.056957668616278
63.0,2.0930006760572994
64.0,2.137709802237054
65.0,2.171012705098406
66.0,2.192884951841802
67.0,2.2228625729578004
68.0,2.242292542990172
69.0,2.2562674943905776
70.0,2.2881694942344413
71.0,2.324265202846023
72.0,2.381889332661762
73.0,2.395394054270547
74.0,2.454040393868476
75.0,2.5016289975066797
76.0,2.507619457406587
77.0,2.605346016859783
78.0,2.6195811624712775
79.0,2.672875376689106
80.0,2.7563252033058427
81.0,2.783919355326186
82.0,2.8112639215414745
83.0,2.8522371877171717
84.0,2.8636589517158417
85.0,2.9124214672637474
86.0,2.9708498035685884
87.0,3.048704800943034
88.0,3.0805319521290215
89.0,3.120453502244993
90.0,3.1585392110662642
91.0,3.209077291376886
92.0,3.245395657413754
93.0,3.2788813409234923
94.0,3.354605114117129
95.0,3.365380974978587
96.0,3.442281827946255
97.0,3.49490118505485
98.0,3.51193041003393
99.0,3.5649620614535587
100.0,3.570547181123672
101.0,3.594407185118562
102.0,3.7040430455012823
103.0,3.7473297219175192
104.0,3.823499598107399
105.0,3.902182259886482
106.0,3.975467735714411
107.0,4.0119522428440995
108.0,4.0679082488540494
109.0,4.126776548164794
110.0,4.1709778108224835
111.0,4.2453827168303055
112.0,4.27985648567123
113.0,4.349439947138626
114.0,4.397564398125107
115.0,4.482386933885365
116.0,4.534339208397871
117.0,4.632658152516113
118.0,4.712464118603155
119.0,4.8032031040426
120.0,4.875431157708795
121.0,4.951960934733996
122.0,5.078625842485041
123.0,5.252544472167622
124.0,5.286245328582869
125.0,5.395213387251007
126.0,5.443531448352714
127.0,5.531714790079147
128.0,5.659203949142948
129.0,5.744030140101126
130.0,5.9131466252675535
131.0,5.993035763314668
132.0,6.168075652549004
133.0,6.308522616369228
134.0,6.386073944439247
135.0,6.528096770153949
136.0,6.681630426357353
137.0,6.80633613751359
138.0,6.955397537118853
139.0,7.155403121078089
140.0,7.30043141532829
141.0,7.4217101396160325
142.0,7.62984204986288
143.0,7.812056774378862
144.0,8.27574507186339
145.0,8.427887452545624
146.0,9.010948615360322
147.0,9.388371905235799
148.0,9.809719378195199
149.0,10.13713652199647
