x,y,z,form0_x,form0_y,form0_z
-0.147756,-0.17182,-0.973985,-0.593444,-0.892926,0.993215
-0.0936441,0.749344,0.655526,0.514265,-0.596664,-2.37933
0.967017,0.254603,-0.00751338,-1.6594,-0.88652,-0.0394363
0.98641,0.102805,-0.128164,-2.11126,-1.87775,0.211953
0.379042,-0.902706,0.203589,-0.0747781,1.57688,0.769832
0.609458,-0.372131,0.700056,-0.588203,1.09009,-1.50615
-0.712241,-0.564291,-0.417479,0.605703,0.637253,1.89205
-0.113739,-0.877992,-0.464966,0.468257,0.484435,1.25525
-0.417601,-0.117422,-0.901012,0.680865,-0.791378,0.785863
0.811593,-0.350769,-0.467202,-1.23282,0.533201,-0.238836
0.199948,-0.455337,-0.867576,-0.453378,-0.544143,1.27698
0.399097,0.00686774,-0.916883,-0.496806,-1.292,0.968559
0.621289,-0.776452,0.105461,-0.498103,1.19222,0.950086
0.757514,0.16227,-0.63233,-1.71448,-1.8463,-0.11608
-0.0668483,-0.520101,-0.851485,0.20997,-0.320622,1.10655
0.248856,0.493423,0.833429,-0.268556,0.359584,-2.18313
0.464485,-0.539168,-0.702532,-0.734829,-0.29009,1.29936
-0.566191,-0.150927,-0.810338,0.782565,-0.410463,1.028
-0.103686,0.321089,0.941356,0.709701,0.145758,-1.56896
-0.833553,0.440089,0.333934,0.940525,-0.175314,-0.481339
0.878179,0.157931,0.451508,-0.631946,0.845361,-1.4457
0.704586,0.698269,0.126408,-1.09496,-0.93369,-0.446189
-0.244707,-0.449287,-0.859221,0.679082,-0.192235,1.19353
-0.439272,-0.582684,0.683755,1.28457,1.682,0.24963
-0.738381,-0.654153,-0.163942,0.704771,0.782257,1.4572
-0.727167,0.651902,-0.215064,0.468404,-0.798337,0.317055
0.684002,-0.0119921,-0.729382,-1.17721,-1.42387,0.25264
0.629134,-0.0761255,-0.77356,-0.837707,-1.12133,0.546183
-0.39363,-0.918192,0.0444919,0.377141,0.896444,1.12959
-0.579889,-0.803011,0.137487,0.560375,0.951108,1.01941
-0.376918,-0.925493,0.0373711,0.368985,0.898194,1.11223
-0.746308,0.625967,0.226249,0.517186,-0.660118,-0.656285
0.433122,0.491881,0.755287,-0.230258,0.291146,-2.10035
-0.178181,-0.983962,0.00840969,0.201224,1.04838,0.616039
-0.958063,-0.153929,-0.241705,0.7009,-0.804223,-0.208524
-0.322784,0.811654,-0.486855,-0.0360612,-1.56538,-0.119087
-0.91872,0.0819818,-0.386307,0.57296,-1.88857,0.626094
0.762754,-0.635151,0.121614,-1.01551,0.698725,0.643601
0.738559,-0.324887,0.590745,-0.659939,1.11207,-1.34289
-0.622329,0.773847,-0.117758,-0.129972,-1.30135,-0.965764
-0.356204,-0.171818,-0.918475,0.596449,-0.777044,0.774088
-0.341104,0.703319,-0.623691,0.21623,-1.71984,0.18658
-0.476348,-0.320672,-0.818696,0.81745,0.12607,1.16044
-0.494696,0.802607,-0.333313,-0.0757599,-1.43393,-0.257657
-0.722203,0.585187,0.368753,0.590755,-0.582132,-0.820831
0.758805,-0.625538,0.181429,-0.951459,0.78638,0.536434
0.135303,0.936243,0.324255,0.175715,-0.951922,-2.15883
-0.71216,-0.696119,-0.0908097,0.691811,0.832472,1.44483
0.540122,0.314933,-0.780439,-1.2292,-1.67242,0.158172
0.453176,-0.792833,-0.407488,-0.849893,0.498526,1.17736
0.230935,-0.972722,0.021921,-0.150032,1.38452,0.559002
0.066743,0.997754,-0.00567007,-0.0805131,-1.24495,-1.75204
0.612744,-0.601421,-0.512677,-0.995079,0.0656312,1.0935
0.708576,0.273196,0.650603,-0.293826,1.00293,-2.0548
-0.510468,0.84949,-0.133373,-0.271724,-1.48501,-1.21577
0.423905,0.585615,0.690912,-0.172946,-0.0328536,-1.97831
-0.840544,0.271129,-0.469015,0.69681,-1.48944,1.11778
0.134221,-0.448043,0.883879,-0.462837,1.30207,-0.37959
0.0764835,0.625725,-0.776285,-0.121005,-1.777,0.25527
0.798095,0.27057,0.538365,-0.464496,0.789744,-1.64595
-0.232191,0.158755,-0.959627,-0.159549,-1.68183,0.531754
0.270092,0.80557,-0.527359,-0.962357,-1.12143,-0.431743
0.565163,0.362425,0.741107,-0.253355,0.836686,-2.18354
-0.835039,-0.46134,-0.29979,0.481805,0.727098,0.574725
-0.151163,0.478535,0.864959,0.840992,-0.18022,-1.78178
-0.241135,-0.451949,0.858834,0.62445,1.47806,0.130312
0.249439,0.759814,0.600385,0.0829273,-0.506861,-2.0399
0.914183,-0.347983,-0.207789,-1.75663,-0.459526,0.312546
-0.46166,0.52292,0.716537,0.873443,-0.115605,-1.33928
0.785338,0.613094,-0.0857913,-1.80596,-0.736478,-0.428583
-0.457304,-0.481543,-0.747656,0.912901,0.193856,1.31399
0.637174,-0.313865,0.703917,-0.561122,1.12042,-1.59696
-0.720847,0.283429,0.632493,1.23063,0.560133,-0.741296
0.656974,-0.192703,-0.728869,-0.744312,-0.848107,0.613489
-0.680171,0.000445255,0.733053,1.64482,1.53856,-0.805717
-0.891016,0.452384,0.0379261,0.996633,-0.310287,0.0451634
-0.635807,-0.598669,0.487182,0.939435,1.15911,-0.417582
0.885599,-0.0272936,-0.463648,-2.03207,-1.81088,-0.165033
0.780335,-0.259285,-0.569077,-1.11535,-0.217661,0.087798
-0.694946,0.178222,0.696626,1.42538,1.11116,-0.790041
0.0475577,-0.978554,0.200428,-0.219312,1.6603,-0.327599
-0.709523,0.0114908,-0.704589,0.635507,-0.8417,1.1776
-0.947054,-0.176422,-0.26826,0.657971,-0.702725,-0.117929
0.155172,-0.67845,0.718072,0.179599,2.10403,0.334742
-0.857908,0.509873,-0.0634328,0.875063,-0.429781,0.175539
-0.0920107,-0.94078,-0.326294,0.386557,0.753644,1.06005
-0.229173,-0.919944,-0.318092,0.606365,0.623409,1.46055
0.692292,-0.314891,0.649288,-0.597052,1.12222,-1.51113
0.74725,0.658227,-0.0914019,-1.74704,-0.774002,-0.460045
-0.0581919,-0.438783,0.896707,-0.187004,1.20713,-0.229262
0.832081,-0.408125,-0.3756,-1.38248,0.267119,0.088732
0.84104,-0.171824,0.512961,-0.616391,1.23228,-1.5329
0.899645,0.0833668,-0.428589,-2.13656,-1.94608,-0.18613
0.552994,-0.638159,0.535678,-0.632125,1.17658,-0.345354
0.261136,-0.030999,-0.964804,-0.561167,-1.22347,1.0559
0.648064,-0.178559,-0.740358,-0.740032,-0.8786,0.619937
0.520658,0.705044,-0.481486,-1.86041,-0.920517,-0.616709
0.662485,-0.11507,0.740184,-0.179469,1.58215,-2.31013
0.720085,-0.596197,-0.355003,-1.32794,0.185282,0.905853
0.438989,-0.897888,-0.0329489,-0.298507,1.24455,0.9962
-0.613458,0.0775451,-0.785911,0.818302,-1.14463,0.96453
0.109541,0.984996,0.133357,0.00643948,-1.12399,-2.01287
0.188671,-0.558141,-0.808011,-0.490947,-0.386831,1.23319
0.618334,-0.322284,-0.716795,-0.692255,-0.563558,0.771408
-0.0807929,0.79444,0.601945,0.48027,-0.619852,-2.40078
