coeff_index,form0,form1,form2
0,-0.079279,0.0471605,0.102262
1,-0.211684,-0.0717596,0.0914552
2,-0.350948,-0.125437,-1.23792
3,0.184249,-0.466484,-0.224887
4,-0.319794,0.543481,-0.305305
5,-4.99585,-0.130998,0.0775984
6,4.22452,0.0457256,0.0754915
7,-2.48858,-0.182928,0.0444042
8,0.342967,-0.740654,-0.143603
9,-2.48078,-0.147573,0.0363813
10,-4.20557,-0.0235276,-0.0394423
11,0.193012,-0.303715,0.308318
12,0.106976,-0.00834464,-0.0378791
13,-0.0610535,-0.0501886,-0.0591164
14,0.102719,-0.0135437,0.0626566
15,0.122785,-0.0482109,-0.0319214
16,-0.147562,0.0312834,0.0498111
17,-0.18861,0.0082995,-0.0134666
18,-0.0619427,-0.0285886,-0.00571461
19,-0.0171727,0.0270918,-0.00525283
20,-0.139224,-0.0461523,-0.014085
21,-0.066785,0.0315159,0.0474277
22,-0.00372005,0.0560937,0.000511662
23,-0.159846,-0.0692916,0.0233288
24,0.12208,0.00258841,-0.0284543
25,-0.0514723,0.0383349,-0.0514045
26,-0.123509,0.0209209,0.00699401
27,-0.0264992,0.0100265,-0.0347401
28,-0.0801966,-0.0570572,-0.0585609
29,0.132366,0.0601782,-0.00163795
30,0.055605,0.0196499,0.0625397
31,-0.0400392,0.00271483,0.00686661
32,0.0162575,0.0180685,-0.021217
33,0.0183917,0.0397582,-0.0672472
34,-0.0956283,0.0101711,0.0311255
35,-0.0327172,0.0172683,0.0145718
36,0.0909371,0.0026107,-0.0912286
37,0.030089,-0.00564004,-0.0152147
38,-0.0948489,-0.0144869,-0.0815928
39,-0.0422097,0.0333877,-0.0434298
40,0.095485,0.0607791,0.0365321
41,0.0645827,-0.00722466,-0.0126115
42,-0.089532,0.0125819,0.000227553
43,-0.00157323,-0.0386932,0.0206978
44,0.0859747,0.0411705,0.0246938
45,-0.0660634,-0.0044916,0.0710226
46,0.00908322,-0.0464648,0.0765846
47,0.0837887,0.0146504,0.00456938
48,0.0140128,0.0493952,-0.0223186
49,0.0960997,0.0360996,-0.00554938
50,0.0350586,0.00529586,-0.0852329
51,-0.0800459,0.0541301,0.0228399
52,-0.091002,-0.0171669,0.0570676
53,0.113522,-0.0104321,-0.0173514
54,0.0618854,-0.0424135,-0.0549431
55,-0.0558631,-0.00617908,0.0171254
56,-0.0993263,-0.0174322,0.0662034
57,-0.00447368,0.0533304,-0.0216677
58,0.0427996,-0.0174258,-0.0294801
59,-0.0317159,0.0482707,0.00881435
60,-0.0230265,-0.0361246,0.0596265
61,0.0280475,0.0324945,0.0224616
62,-0.0557958,0.0454749,0.00583766
63,0.138504,0.00401639,-0.0340542
64,-0.0613775,-0.0157222,0.0358115
65,-0.0185016,-0.0401598,0.0283823
66,0.0240958,-0.0320038,-0.0102288
67,0.00212006,-0.002606,-0.0253712
68,0.0130875,-0.0182819,-0.00481052
69,-0.0239362,0.00495334,-0.00152862
70,0.0298047,-0.0506804,0.0297347
71,0.0568351,0.0386636,0.0120472
72,-0.112112,0.0128741,0.0461229
73,-0.0435788,0.0368017,-0.0175531
74,-0.0167565,-0.0504937,0.041906
75,0.00837812,0.0543675,-0.0176017
76,0.0267156,0.0289708,-0.054955
77,0.00186628,-0.0348043,0.00244983
78,-0.00434057,0.0439586,0.0102958
79,0.039822,0.0456622,0.0139768
80,-0.0570944,-0.063944,-0.0196507
81,0.0236395,0.00475342,0.0639672
82,0.0119819,0.0207735,0.0268749
83,0.0120503,-0.0700852,-0.014225
84,-0.0167512,-0.00361318,-0.0219638
85,0.0715781,-0.0814548,0.0232496
86,0.131209,-0.0542166,-0.0131292
87,0.0598257,0.0216783,-0.052222
88,0.0233386,0.00799369,-0.0479994
89,0.0234035,0.0224523,0.00368482
90,0.0513684,-0.0254869,-0.0120512
91,-0.0686151,0.0209067,0.061898
92,-0.0225947,-0.0253434,-0.000704621
93,0.00527252,0.0410474,-0.0372883
94,0.0246005,0.00385314,0.0201009
95,0.00773701,-0.0134711,-0.0238456
96,-0.00245297,-0.0396983,-0.00588482
97,-0.00538872,0.0632545,-0.0221916
98,-0.0420327,0.0190499,-0.00306404
99,0.0185097,-0.00228698,-0.0108608
100,0.0133672,0.00324194,-0.00766201
101,-0.0014668,-0.0308274,0.0684222
102,-0.0338635,0.021139,-0.00773007
103,-0.0145705,0.0149281,-0.0182241
104,-0.0198054,-0.0192805,-0.0301903
105,-0.0801995,0.0185051,0.00891332
106,-0.0304504,-0.00312169,0.0265655
107,-0.0802904,-0.0106553,0.00202912
108,-0.0662711,0.0198901,0.00713487
109,0.058649,-0.0250479,0.0123835
110,0.061892,-0.0152699,-0.019979
111,0.0399467,0.00229707,0.00742036
112,0.0114941,0.0103311,0.0044428
113,-0.0339251,-0.0275014,-0.00769037
114,-0.0430167,-0.000437448,0.0289746
115,0.0378288,-0.0100383,-0.0325188
116,0.0276623,0.00372536,0.000327836
117,-0.0662548,0.0325107,-0.00462051
118,0.0418175,-0.0189242,0.00314045
119,-0.00212643,-0.0239174,-0.000708752
120,-0.0717078,0.00448734,0.0403785
121,0.00893605,0.0121105,-0.0180113
122,0.00844006,0.0124055,-0.025621
123,-0.00603136,0.0188974,-0.0281654
124,0.0203276,-0.0365674,0.0025955
125,0.0127916,0.0398855,-0.00600372
126,-0.00465367,-0.004478,0.0103913
127,0.0345897,0.00738616,0.00204662
128,0.00955235,-0.00318752,-0.00552459
129,0.0380466,0.00985944,-0.0296013
130,-0.0353043,0.0288374,-0.00163226
131,0.026454,0.0149087,-0.00540347
132,0.0149106,-0.0286661,0.0238896
133,-0.00762781,-0.0204361,0.0285883
134,-0.00940259,0.0342627,0.0147844
135,-0.00250194,0.00342817,-0.0143809
136,0.00442319,0.0184628,-0.0188524
137,-0.0296078,-0.00837485,-0.0067285
138,0.0180907,0.0157571,-0.0145834
139,-0.0577544,-0.0115082,0.0226987
140,-0.030959,0.0137533,0.0262265
141,-0.0329213,-0.0314313,0.0266992
142,0.00482527,0.00857927,0.0101527
143,-0.0259218,-0.00478434,-0.00115493
144,0.0112752,0.0247618,-0.0252015
145,-0.00999617,-0.00602986,0.0113015
146,0.0128263,-0.00390819,-0.0216471
147,-0.0196681,-0.00461701,-0.00178934
148,-0.0251154,-0.00190983,-0.00328149
149,0.030923,-0.00234384,0.007783
