x,y,z,form0_x,form0_y,form0_z,form1_x,form1_y,form1_z,form2_x,form2_y,form2_z
-0.147756,-0.17182,-0.973985,0.315395,0.217621,-0.144984,-0.302729,0.707092,-0.0885629,-0.119385,-0.0793612,0.0293465
-0.0936441,0.749344,0.655526,0.356793,0.460618,-0.319569,0.569175,-0.402423,0.56023,0.385292,0.770029,-0.828438
0.967017,0.254603,-0.00751338,0.15754,-0.215719,0.345083,0.163891,-0.67424,-0.603559,0.0363286,-0.226094,-1.33775
0.98641,0.102805,-0.128164,0.0820076,-0.243696,-0.363689,-0.0477397,-0.228775,-0.832469,-0.138296,-0.0133245,-1.57582
0.379042,-0.902706,0.203589,0.410187,-0.00218792,-0.270858,-0.047088,-0.304446,-1.29372,0.15735,-0.146039,-0.961319
0.609458,-0.372131,0.700056,0.21081,0.140156,0.0321142,0.357862,-0.349714,-0.518809,0.523,0.093753,-0.425404
-0.712241,-0.564291,-0.417479,-0.0443993,-0.045628,-0.0459047,-0.209978,0.319846,-0.0665337,0.0769294,0.0887553,-0.260273
-0.113739,-0.877992,-0.464966,-0.000663055,0.0587655,-0.293668,-0.506141,0.514965,-0.906014,-0.0545131,0.306852,-0.619964
-0.417601,-0.117422,-0.901012,0.248626,-0.598766,-0.121628,-0.659849,0.678687,0.247741,0.105042,-0.0932726,-0.0487324
0.811593,-0.350769,-0.467202,0.0282258,0.0338889,-0.0785813,-0.246464,0.464204,-0.799315,-0.217806,0.362689,-0.682492
0.199948,-0.455337,-0.867576,0.514183,-0.167432,0.129769,-0.761611,0.825568,-0.590662,-0.380276,0.166091,-0.174071
0.399097,0.00686774,-0.916883,0.0311779,-0.209661,-0.0776868,-0.716985,0.7171,-0.27794,-0.49677,-0.151002,-0.225374
0.621289,-0.776452,0.105461,-0.0250738,-0.0994618,0.489005,-0.278342,-0.356181,-1.31838,0.0776693,-0.02505,-0.978362
0.757514,0.16227,-0.63233,0.128115,-0.442687,-0.124114,-0.67591,0.680203,-0.618754,-0.501591,-0.199145,-0.701591
-0.0668483,-0.520101,-0.851485,0.0121622,-0.0454549,-0.0730385,-0.416291,0.751941,-0.415444,-0.00756753,0.146364,-0.100423
0.248856,0.493423,0.833429,-0.0468729,-0.330884,0.336963,0.244753,-0.593409,0.258196,0.45287,1.24796,-0.91401
0.464485,-0.539168,-0.702532,-0.236344,0.0416303,-0.316103,-0.680264,0.442331,-0.820102,-0.545806,0.204441,-0.546242
-0.566191,-0.150927,-0.810338,0.0662651,-0.300255,-0.0953966,-0.504144,0.660628,0.239619,0.228292,-0.0424091,-0.168016
-0.103686,0.321089,0.941356,-0.121903,0.00207457,0.0746698,0.777107,-0.963232,0.415153,0.138429,0.634476,-0.210279
-0.833553,0.440089,0.333934,-0.0381755,0.173928,-0.0821758,0.235973,-0.37053,1.04107,-0.0783286,0.533976,-0.875685
0.878179,0.157931,0.451508,0.0312308,-0.143426,0.221947,0.318519,-0.985954,-0.26565,0.376871,0.476825,-0.948423
0.704586,0.698269,0.126408,0.0749469,0.0824986,-0.122815,0.32603,-0.365587,0.173617,-0.217006,0.538666,-1.80103
-0.244707,-0.449287,-0.859221,-0.324878,-0.313312,0.168339,-0.507654,0.683812,-0.224448,0.0769392,0.116832,-0.0893967
-0.439272,-0.582684,0.683755,-0.0475686,0.120237,0.16763,0.306191,-0.376743,-0.109318,-0.121366,-0.0823547,-0.166224
-0.738381,-0.654153,-0.163942,-0.10269,-0.219152,0.706993,-0.0985135,0.11071,-0.015491,0.12703,0.0256041,-0.565467
-0.727167,0.651902,-0.215064,-0.257372,-0.179335,-0.0946608,-0.127878,0.197525,0.938443,0.247465,-0.0407493,-0.875487
0.684002,-0.0119921,-0.729382,0.239375,-0.145294,0.142036,-0.449442,0.413989,-0.416642,-0.524321,-0.413011,-0.492295
0.629134,-0.0761255,-0.77356,0.222377,-0.434277,0.102139,-0.54436,0.379693,-0.463718,-0.539359,-0.215127,-0.424437
-0.39363,-0.918192,0.0444919,-0.00431931,-0.113177,-0.0734749,-0.131278,0.0379923,-0.425491,0.132422,-0.066239,-0.463929
-0.579889,-0.803011,0.137487,-0.0534434,-0.159237,-0.488615,-0.0221671,-0.0345715,-0.228058,0.122738,-0.182595,-0.471245
-0.376918,-0.925493,0.0373711,-0.106516,-0.0631796,-0.0556604,-0.149605,0.0431207,-0.491577,0.140685,-0.0637828,-0.524085
-0.746308,0.625967,0.226249,-0.315826,-0.207035,-0.133262,0.291809,-0.119234,1.24209,-0.0804042,0.306067,-1.07688
0.433122,0.491881,0.755287,-0.349923,0.19249,0.19113,0.557228,-0.77939,0.15927,0.838914,0.985364,-1.12037
-0.178181,-0.983962,0.00840969,-0.111325,-0.0887259,0.0184818,-0.14745,0.0185455,-0.70979,0.126733,-0.0284854,-0.648963
-0.958063,-0.153929,-0.241705,-0.113758,0.231817,-0.0118032,-0.133019,0.311014,0.328184,0.110551,-0.094925,-0.402734
-0.322784,0.811654,-0.486855,-0.729554,-0.0752626,0.107877,-0.0937121,0.479299,0.835568,0.0210179,-0.478229,-0.804007
-0.91872,0.0819818,-0.386307,0.102263,-0.0922084,-0.470466,-0.141044,0.438532,0.468277,0.151682,-0.295636,-0.460691
0.762754,-0.635151,0.121614,0.241226,0.0802756,-0.255149,0.170788,-0.0407984,-1.13028,0.418486,0.268285,-1.09971
0.738559,-0.324887,0.590745,-0.128972,-0.12656,0.208531,0.499189,-0.455474,-0.889029,0.916501,0.37439,-0.976812
-0.622329,0.773847,-0.117758,0.206158,0.340333,0.289457,-0.0577557,0.0782073,0.672701,0.150558,-0.000397531,-0.691509
-0.356204,-0.171818,-0.918475,-0.159087,-0.0987839,-0.00124592,-0.591117,0.534038,0.127526,-0.0177186,-0.00588018,-0.00079007
-0.341104,0.703319,-0.623691,-0.394011,0.0625844,0.144096,-0.485297,0.762545,1.10714,0.350585,-0.741219,-1.02146
-0.476348,-0.320672,-0.818696,-0.408002,-0.401598,0.2944,-0.735914,0.825331,0.101707,0.169631,0.0929088,-0.131119
-0.494696,0.802607,-0.333313,0.136764,0.076907,-0.234062,-0.166311,0.255891,0.82568,0.211756,-0.214437,-0.808711
-0.722203,0.585187,0.368753,-0.370318,-0.0468421,-0.424354,0.522125,-0.0852221,1.11005,-0.213185,0.307892,-0.878557
0.758805,-0.625538,0.181429,0.100866,-0.093601,-0.297668,0.164627,-0.225049,-1.31888,0.45713,0.176708,-1.22251
0.135303,0.936243,0.324255,-0.437804,0.0310683,0.395721,0.414017,-0.278278,0.66437,0.349121,0.392321,-1.37263
-0.71216,-0.696119,-0.0908097,-0.124992,-0.0304519,0.154469,-0.0861386,0.0874228,-0.0438503,0.0744877,-0.0291347,-0.349148
0.540122,0.314933,-0.780439,0.216274,-0.0334743,0.0293856,-0.563608,0.891939,-0.0106934,-0.68676,-0.727552,-0.789751
0.453176,-0.792833,-0.407488,0.10379,-0.192573,0.294542,-0.242163,0.549625,-1.30785,-0.0577939,0.438352,-0.901044
0.230935,-0.972722,0.021921,0.273054,-0.0406129,-0.00988102,-0.111093,-0.0424005,-0.803665,0.136863,0.0193124,-0.652098
0.066743,0.997754,-0.00567007,-0.0267788,0.0761107,-0.306161,0.172126,-0.00942781,0.688554,-0.0172737,0.00542122,-1.38647
0.612744,-0.601421,-0.512677,-0.191483,-0.168873,-0.141203,-0.398204,0.586573,-1.211,-0.281067,0.411683,-0.85498
0.708576,0.273196,0.650603,-0.0400089,0.102181,0.156636,0.383794,-0.534553,-0.219767,0.844161,0.478994,-1.11665
-0.510468,0.84949,-0.133373,-0.168056,0.0404757,0.254691,-0.230974,-0.0142128,0.724451,0.287381,0.0365126,-0.817638
0.423905,0.585615,0.690912,-0.112488,0.141403,0.108147,0.361151,-0.48596,0.18725,0.669728,0.762445,-1.05437
-0.840544,0.271129,-0.469015,-0.077327,-0.0617683,-0.047504,-0.110603,0.602746,0.529252,0.159939,-0.372985,-0.488731
0.134221,-0.448043,0.883879,-0.257519,-0.218772,0.0194908,0.44778,-0.882205,-0.523399,0.544131,0.127337,-0.0470557
0.0764835,0.625725,-0.776285,-0.550074,0.602991,0.265849,-0.108703,0.719128,0.519471,-0.157749,-0.813236,-0.627204
0.798095,0.27057,0.538365,0.211,0.0961471,-0.197533,0.48321,-0.744998,-0.356674,0.706026,0.297289,-1.18395
-0.232191,0.158755,-0.959627,0.251527,0.168587,-0.0762376,-0.401999,0.55317,0.201102,-0.0779903,-0.290465,-0.0400458
0.270092,0.80557,-0.527359,0.290335,-0.186668,-0.277053,-0.249121,0.423885,0.524449,0.103156,-0.598207,-0.882037
0.565163,0.362425,0.741107,0.12614,-0.430281,0.268714,0.663898,-0.714312,-0.115895,0.772931,0.405466,-0.844623
-0.835039,-0.46134,-0.29979,0.0968129,-0.162555,-0.332397,-0.220317,0.300535,0.163696,0.122703,-0.0356712,-0.321178
-0.151163,0.478535,0.864959,0.016907,0.117091,0.0131288,0.359118,-0.80637,0.497655,-0.00246691,0.771428,-0.41866
-0.241135,-0.451949,0.858834,-0.309087,-0.0514173,-0.0198582,0.531077,-0.564083,-0.131954,0.108469,0.0897211,0.0598444
0.249439,0.759814,0.600385,0.0347776,0.233298,-0.132989,0.606424,-0.598081,0.495689,0.412424,0.703833,-1.05382
0.914183,-0.347983,-0.207789,0.267067,0.396601,0.129188,-0.205281,-0.0258716,-0.935453,-0.160294,0.166131,-1.09672
-0.46166,0.52292,0.716537,-0.589814,-0.313079,-0.00709389,0.617365,-0.764764,0.919524,-0.117616,0.83817,-0.694309
0.785338,0.613094,-0.0857913,-0.00330211,0.161383,0.146297,0.215599,-0.263151,0.105884,-0.144102,0.0189625,-1.46068
-0.457304,-0.481543,-0.747656,0.0478954,0.302721,-0.358274,-0.862591,0.821463,-0.0271262,0.141217,0.0856751,-0.164832
0.637174,-0.313865,0.703917,-0.0526019,-0.3229,0.0163997,0.363927,-0.460622,-0.53852,0.584618,0.178857,-0.501097
-0.720847,0.283429,0.632493,0.149926,0.437718,0.135507,0.75928,-0.304366,1.01779,-0.406884,0.289036,-0.61445
0.656974,-0.192703,-0.728869,0.00960468,-0.030065,-0.07883,-0.493866,0.368217,-0.548328,-0.489923,-0.0510059,-0.439434
-0.680171,0.000445255,0.733053,0.201518,0.33341,0.302755,0.469449,-0.686368,0.422707,-0.230785,0.291702,-0.222369
-0.891016,0.452384,0.0379261,-0.05917,0.0639517,-0.149434,0.0899752,0.085564,0.791535,-0.00794054,0.0626377,-0.728808
-0.635807,-0.598669,0.487182,-0.0989508,-0.402496,-0.384269,0.0726137,-0.30786,-0.250915,-0.0892715,-0.244115,-0.410604
0.885599,-0.0272936,-0.463648,0.0609651,0.0380673,-0.0549252,-0.377043,0.356563,-0.699517,-0.416904,0.00252437,-0.785341
0.780335,-0.259285,-0.569077,-0.0650645,-0.086541,-0.139879,-0.550562,0.43578,-0.939474,-0.497607,0.123864,-0.742513
-0.694946,0.178222,0.696626,0.120816,0.570993,0.0902295,0.685522,-0.934293,0.907081,-0.372557,0.576738,-0.521087
0.0475577,-0.978554,0.200428,-0.363665,-0.112737,0.183973,0.144074,-0.172139,-0.860219,0.337593,-0.136129,-0.770338
-0.709523,0.0114908,-0.704589,-0.156628,-0.330735,0.0522294,-0.437376,0.506795,0.455354,0.334779,-0.215143,-0.351644
-0.947054,-0.176422,-0.26826,-0.155285,0.270206,0.097751,-0.166256,0.379637,0.318867,0.128262,-0.12945,-0.375547
0.155172,-0.67845,0.718072,-0.0944953,0.198747,0.314044,0.694537,-0.757368,-0.906619,0.683317,-0.216703,-0.390036
-0.857908,0.509873,-0.0634328,-0.185774,-0.120473,0.144122,-0.0355087,0.0242557,0.626818,0.164386,0.182013,-0.638042
-0.0920107,-0.94078,-0.326294,0.152868,-0.167505,0.228773,-0.311307,0.297109,-0.774151,0.0934905,0.200592,-0.607197
-0.229173,-0.919944,-0.318092,0.272198,-0.29329,0.371579,-0.287087,0.323421,-0.662192,0.171312,0.164366,-0.576962
0.692292,-0.314891,0.649288,-0.264449,-0.264476,0.258839,0.628247,-0.382841,-0.883258,1.00843,0.317784,-0.994852
0.74725,0.658227,-0.0914019,0.161359,0.00462036,0.317762,0.232813,-0.244579,0.101184,-0.109255,-0.0832564,-1.42512
-0.0581919,-0.438783,0.896707,-0.0904641,0.136229,0.152828,0.442979,-0.308486,-0.130703,0.319572,0.0336105,0.0208817
0.832081,-0.408125,-0.3756,-0.058628,-0.0437958,-0.276742,-0.347067,0.409552,-1.38839,-0.323383,0.396513,-1.32377
0.84104,-0.171824,0.512961,-0.0677286,0.226699,0.403408,0.126671,-0.915183,-0.560161,0.398542,0.424364,-0.574344
0.899645,0.0833668,-0.428589,-0.0877504,-0.17091,-0.379993,-0.335996,0.0908318,-0.713502,-0.469977,-0.375282,-1.09742
0.552994,-0.638159,0.535678,0.406492,0.233181,-0.00167314,0.600512,-0.324879,-0.990234,0.972655,0.173117,-0.770508
0.261136,-0.030999,-0.964804,0.220326,0.0760475,-0.0235732,-0.700394,0.464041,-0.209143,-0.622298,-0.294404,-0.170235
0.648064,-0.178559,-0.740358,0.0714057,-0.0912495,-0.0114205,-0.488696,0.362785,-0.519922,-0.485796,-0.0741127,-0.417334
0.520658,0.705044,-0.481486,-0.029496,-0.0454318,-0.29448,0.0294762,0.215602,0.343196,-0.590147,-0.273094,-1.03752
0.662485,-0.11507,0.740184,-0.243416,0.259014,0.392834,0.589289,-0.870276,-0.681736,0.898438,0.252519,-0.830963
0.720085,-0.596197,-0.355003,0.0917478,-0.140335,0.185874,-0.401342,-0.0418848,-0.744009,-0.209054,0.0721955,-0.554094
0.438989,-0.897888,-0.0329489,0.0490945,-0.0554424,-0.0133924,-0.284008,-0.0731451,-1.30607,0.0522155,0.0699447,-0.992183
-0.613458,0.0775451,-0.785911,-0.0694811,-0.0879069,-0.0464279,-0.562474,0.584034,0.496898,0.395739,-0.297252,-0.349028
0.109541,0.984996,0.133357,-0.122487,0.0501569,0.318731,0.351328,-0.159121,0.856955,0.000726796,0.22882,-1.63748
0.188671,-0.558141,-0.808011,0.623277,0.178754,-0.0611205,-0.528109,0.391334,-0.370781,-0.30525,0.0937714,-0.133037
0.618334,-0.322284,-0.716795,0.181193,0.347457,-0.085176,-0.516323,0.621521,-0.720625,-0.447283,0.22072,-0.480469
-0.0807929,0.79444,0.601945,0.279008,0.0829752,0.11122,0.760763,-0.321759,0.579916,0.280165,0.58213,-0.787471
