x,y,z,wedge_x,wedge_y,wedge_z
-0.147756,-0.17182,-0.973985,8.08681,5.01727,-2.18147
-0.0936441,0.749344,0.655526,10.0423,5.03356,-5.44669
0.967017,0.254603,-0.00751338,-0.575283,6.05875,-6.4948
0.98641,0.102805,-0.128164,-1.59974,9.11922,-4.12444
0.379042,-0.902706,0.203589,11.9618,4.9689,-2.37694
0.609458,-0.372131,0.700056,6.46761,9.12916,-2.73803
-0.712241,-0.564291,-0.417479,1.03832,1.60797,-3.28489
-0.113739,-0.877992,-0.464966,7.71362,0.708436,-4.31024
-0.417601,-0.117422,-0.901012,5.61556,5.92866,-3.76118
0.811593,-0.350769,-0.467202,3.50277,7.90455,0.874537
0.199948,-0.455337,-0.867576,7.98107,7.0571,-1.39536
0.399097,0.00686774,-0.916883,6.98914,8.04389,3.25505
0.621289,-0.776452,0.105461,10.3898,7.57438,-1.67173
0.757514,0.16227,-0.63233,2.86164,7.38896,4.64827
-0.0668483,-0.520101,-0.851485,8.72421,4.828,-3.96306
0.248856,0.493423,0.833429,6.95853,5.2761,-5.28174
0.464485,-0.539168,-0.702532,7.48173,7.19648,-0.72273
-0.566191,-0.150927,-0.810338,4.43381,6.59092,-4.69196
-0.103686,0.321089,0.941356,8.88597,7.27071,-1.0742
-0.833553,0.440089,0.333934,5.05843,9.23157,-0.449884
0.878179,0.157931,0.451508,2.97313,5.65924,-7.34057
0.704586,0.698269,0.126408,0.75347,-0.480661,-6.31012
-0.244707,-0.449287,-0.859221,7.90472,4.47135,-4.96639
-0.439272,-0.582684,0.683755,4.92879,2.06935,4.48565
-0.738381,-0.654153,-0.163942,0.279152,0.104693,-1.70869
-0.727167,0.651902,-0.215064,6.01107,6.94642,-1.09016
0.684002,-0.0119921,-0.729382,3.51231,7.55246,3.28725
0.629134,-0.0761255,-0.77356,4.21369,7.33842,2.34546
-0.39363,-0.918192,0.0444919,5.53144,-2.22278,-1.48598
-0.579889,-0.803011,0.137487,2.45461,-1.346,-0.588024
-0.376918,-0.925493,0.0373711,5.71902,-2.23008,-1.54226
-0.746308,0.625967,0.226249,5.90389,7.84008,-0.590726
0.433122,0.491881,0.755287,6.13791,4.2416,-5.66855
-0.178181,-0.983962,0.00840969,8.20172,-1.68917,-2.35351
-0.958063,-0.153929,-0.241705,0.351401,3.39073,-3.64963
-0.322784,0.811654,-0.486855,8.9471,4.42435,0.0868935
-0.91872,0.0819818,-0.386307,2.52884,4.51543,-4.6232
0.762754,-0.635151,0.121614,8.40787,10.0881,-1.55433
0.738559,-0.324887,0.590745,6.31214,9.06559,-3.35683
-0.622329,0.773847,-0.117758,5.82651,4.61215,0.26644
-0.356204,-0.171818,-0.918475,6.04694,5.70123,-3.72655
-0.341104,0.703319,-0.623691,9.65185,4.72412,-0.449353
-0.476348,-0.320672,-0.818696,5.22132,6.0751,-5.67027
-0.494696,0.802607,-0.333313,8.03234,5.01987,0.0189539
-0.722203,0.585187,0.368753,6.26685,8.44815,-0.758209
0.758805,-0.625538,0.181429,8.45942,9.83064,-1.58246
0.135303,0.936243,0.324255,10.0078,0.858725,-5.10271
-0.71216,-0.696119,-0.0908097,0.387473,-0.24534,-1.38958
0.540122,0.314933,-0.780439,5.98212,4.32874,6.32718
0.453176,-0.792833,-0.407488,10.8765,7.42552,-1.8684
0.230935,-0.972722,0.021921,11.7121,3.0815,-3.25775
0.066743,0.997754,-0.00567007,7.72727,0.0620356,-1.70568
0.612744,-0.601421,-0.512677,8.58701,8.15576,-0.439351
0.708576,0.273196,0.650603,4.773,5.5238,-6.55238
-0.510468,0.84949,-0.133373,6.35291,3.84465,0.441261
0.423905,0.585615,0.690912,5.93631,2.9723,-5.73704
-0.840544,0.271129,-0.469015,4.57474,6.53786,-3.97021
0.134221,-0.448043,0.883879,8.68116,5.7875,2.25843
0.0764835,0.625725,-0.776285,9.20596,1.1145,0.498285
0.798095,0.27057,0.538365,3.2617,4.77898,-7.11335
-0.232191,0.158755,-0.959627,5.88056,4.36564,-0.37023
0.270092,0.80557,-0.527359,6.06574,-1.2739,1.78848
0.565163,0.362425,0.741107,5.64717,5.44766,-6.06033
-0.835039,-0.46134,-0.29979,0.139792,1.89516,-3.02298
-0.151163,0.478535,0.864959,8.86296,7.22507,-2.0308
-0.241135,-0.451949,0.858834,5.3746,3.73501,3.7336
0.249439,0.759814,0.600385,7.88951,1.55822,-5.75626
0.914183,-0.347983,-0.207789,3.81802,11.9601,-1.81303
-0.46166,0.52292,0.716537,7.31354,9.41685,-0.703393
0.785338,0.613094,-0.0857913,0.96188,-0.868435,-4.26787
-0.457304,-0.481543,-0.747656,6.09742,4.92545,-5.79261
0.637174,-0.313865,0.703917,6.31673,9.09579,-3.06641
-0.720847,0.283429,0.632493,5.80901,10.5434,1.08958
0.656974,-0.192703,-0.728869,4.0448,7.00991,1.45257
-0.680171,0.000445255,0.733053,6.15074,8.29803,4.20507
-0.891016,0.452384,0.0379261,4.28994,7.92731,-1.25541
-0.635807,-0.598669,0.487182,2.416,-0.207071,3.07884
0.885599,-0.0272936,-0.463648,1.01364,9.92395,2.08143
0.780335,-0.259285,-0.569077,3.36752,7.5701,1.2163
-0.694946,0.178222,0.696626,6.14536,9.93933,2.41719
0.0475577,-0.978554,0.200428,10.9033,-0.5354,-2.13667
-0.709523,0.0114908,-0.704589,3.60931,6.61331,-4.38176
-0.947054,-0.176422,-0.26826,0.380633,3.32004,-3.67187
0.155172,-0.67845,0.718072,10.6672,5.57076,3.08887
-0.857908,0.509873,-0.0634328,4.65402,7.60474,-1.29618
-0.0920107,-0.94078,-0.326294,8.56575,0.399546,-3.93306
-0.229173,-0.919944,-0.318092,7.24218,-0.550126,-3.48099
0.692292,-0.314891,0.649288,6.28494,9.07506,-3.21554
0.74725,0.658227,-0.0914019,1.10671,-1.06082,-4.32101
-0.0581919,-0.438783,0.896707,6.4072,4.65983,2.66881
0.832081,-0.408125,-0.3756,4.75606,9.48735,0.294619
0.84104,-0.171824,0.512961,5.26006,8.10683,-5.37744
0.899645,0.0833668,-0.428589,0.706802,9.23216,2.09509
0.552994,-0.638159,0.535678,10.0575,9.0906,0.0300925
0.261136,-0.030999,-0.964804,7.44784,7.69373,2.27293
0.648064,-0.178559,-0.740358,4.08189,7.04112,1.52372
0.520658,0.705044,-0.481486,5.13951,-1.90653,2.59387
0.662485,-0.11507,0.740184,7.01877,8.59775,-5.35441
0.720085,-0.596197,-0.355003,9.46424,10.864,0.234805
0.438989,-0.897888,-0.0329489,11.8976,5.61082,-2.95769
-0.613458,0.0775451,-0.785911,4.6827,6.78337,-3.55932
0.109541,0.984996,0.133357,8.94411,0.344866,-3.63043
0.188671,-0.558141,-0.808011,7.92703,6.56254,-1.84218
0.618334,-0.322284,-0.716795,4.76247,6.82928,0.764294
-0.0807929,0.79444,0.601945,10.1418,4.73836,-5.60816
-0.833307,-0.20802,-0.512179,1.57407,5.02186,-4.66791
-0.448899,0.16881,-0.877493,6.06247,6.20484,-1.63967
0.888512,-0.411186,0.20365,6.08115,10.5812,-3.0368
0.684428,0.178074,-0.707,4.16473,6.25751,5.5097
-0.0504673,-0.444479,-0.894367,8.77983,5.27504,-3.55567
-0.564753,-0.493958,0.661105,4.04239,2.37648,5.38359
0.963127,0.173494,-0.205634,-1.52112,8.88354,-3.26201
-0.131159,-0.669708,0.73095,8.16817,2.72989,4.04365
0.868406,0.0875514,0.488063,3.60976,6.28767,-7.12961
0.0400215,-0.800443,-0.598072,7.50123,2.81438,-3.5048
-0.555412,-0.0446205,-0.830377,4.60188,6.61794,-4.01376
0.680099,-0.324718,-0.657286,4.54952,6.79185,0.728174
0.914978,0.403357,-0.0108397,-0.153997,2.68969,-6.41939
0.520366,-0.805157,-0.284504,11.5475,7.5995,-2.10798
0.683072,0.304243,0.663964,4.87619,5.43843,-6.47956
-0.557434,0.827939,-0.0615183,5.94236,3.99601,0.435279
-0.900179,0.42153,0.109499,4.20449,8.20085,-1.12278
0.952269,-0.206195,-0.225096,2.33455,11.9583,-1.98962
-0.79536,-0.32788,0.509801,1.51589,3.51591,4.36595
-0.0515415,0.924419,0.37788,10.7793,1.95175,-5.02463
0.0485368,0.927145,0.371545,10.5913,1.34648,-5.22404
0.640559,-0.542799,0.543189,8.84182,9.58861,-0.743713
0.147899,0.967989,-0.202788,5.89946,-0.811341,0.0632409
0.459329,0.456766,-0.761828,6.45469,2.15518,5.30703
-0.184088,0.749523,0.635867,9.96709,5.49379,-5.09109
-0.815195,-0.489902,-0.308955,0.199079,1.82195,-3.01143
-0.870705,-0.307864,0.383525,-0.505138,3.60708,2.26177
0.0782526,-0.198698,0.976932,8.59349,6.5512,0.124311
-0.849706,-0.339365,0.403523,-0.309391,3.46358,2.60622
-0.139077,0.564875,0.813371,9.06294,6.82732,-2.94745
-0.196046,0.119467,-0.97329,5.86171,4.28941,-0.312496
0.406039,-0.890002,0.207435,11.9394,5.07837,-2.36554
-0.415182,-0.423117,-0.805355,6.37628,5.19245,-5.75646
0.645125,-0.169631,0.745009,6.91803,8.72379,-4.90543
-0.266421,0.285846,0.920496,8.95464,7.50984,0.139505
-0.34358,-0.117903,-0.931693,6.04634,5.67399,-3.51812
-0.564748,-0.378247,-0.733477,4.37678,6.29778,-6.04168
0.432202,-0.608508,0.665522,11.7291,8.20155,1.76385
0.566301,0.734573,0.373773,3.62916,0.654512,-6.0409
-0.223386,0.148734,0.963316,9.22133,7.20455,0.90941
0.724634,-0.460129,0.513018,7.80334,9.58754,-1.72012
0.946359,0.262521,0.18838,0.304703,5.37134,-7.48763
0.439742,-0.894688,0.0784865,11.8765,5.27392,-2.75343
-0.170399,0.10022,-0.980265,5.95729,4.28307,-0.295663
0.395731,-0.721937,0.567629,12.3011,7.6383,1.52366
0.970815,0.0608002,-0.231996,-1.33,9.3725,-2.93368
