x,y,z,form0_x,form0_y,form0_z
-1.95387,-2.27208,0.0816387,-4.91274,3.93724,0.918666
-0.306213,2.45033,-0.882991,5.79854,1.49606,-0.011136
0.967313,0.254681,0.0236018,1.22948,-5.17923,-0.757257
1.07415,0.111949,0.391847,0.120294,-5.74677,-0.579494
0.463675,-1.10426,-0.596871,-4.95339,-3.08894,-0.810515
2.20874,-1.34864,-0.808913,-2.91679,-6.26267,0.0333486
-1.36669,-1.0828,0.966583,-2.66533,5.46381,-0.199757
-0.24283,-1.8745,0.993949,-5.82136,1.60314,0.203069
-2.84183,-0.79907,0.305993,-1.18359,5.96376,1.21316
1.74146,-0.752654,0.994696,-2.56344,-4.92651,-0.00748791
1.1719,-2.66874,0.404124,-4.86803,-2.31155,0.785004
2.96566,0.0510337,0.258162,-0.0975419,-5.61361,0.282267
0.658751,-0.82327,-0.325288,-4.15349,-3.65623,-0.839427
2.35053,0.503516,0.914823,0.683356,-6.2261,0.457858
-0.368816,-2.86951,0.44983,-5.76828,1.33363,0.56092
1.29069,2.55912,-0.499738,4.89384,-2.35444,0.151076
1.6932,-1.96544,0.804316,-4.49327,-3.70089,0.46705
-2.73227,-0.72833,0.561204,-0.897221,6.06606,1.04405
-0.916684,2.83874,-0.183195,4.91721,1.34567,0.781399
-1.32792,0.701098,-0.866967,2.15231,6.14114,-0.741944
1.81906,0.32714,-0.988418,2.14019,-6.70765,-0.228914
0.76556,0.758696,-0.386766,3.79307,-3.70234,-0.84627
-1.38891,-2.55007,0.427994,-5.45828,3.26285,0.576191
-1.53249,-2.03281,-0.837949,-6.04325,3.41033,0.313171
-0.84561,-0.74915,0.492569,-3.02729,4.33877,-1.38554
-0.908174,0.814174,0.6254,4.86551,3.80543,-0.960946
2.65944,-0.0466261,0.751395,-0.407794,-6.15188,0.392658
2.73749,-0.331238,0.652881,-1.01091,-6.05824,0.319813
-0.397863,-0.928065,-0.139321,-4.96385,1.99605,-1.48272
-0.639216,-0.885165,-0.418623,-4.6706,2.95949,-1.47525
-0.379778,-0.932515,-0.117135,-4.97593,1.94582,-1.47476
-0.951705,0.798243,-0.652428,2.99646,5.32865,-1.15504
1.79671,2.04046,-0.695265,4.76503,-3.44159,0.082444
-0.17825,-0.98434,-0.0264167,-5.1631,1.21865,-1.34667
-1.25857,-0.202211,0.688441,0.272212,5.88802,-1.06533
-0.723818,1.82007,0.999147,7.51075,2.16129,-0.128499
-1.64384,0.146687,0.936887,1.88807,6.64913,-0.50842
0.823865,-0.686038,-0.372835,-3.48354,-4.32489,-0.773686
2.08813,-0.918554,-0.959638,-2.32288,-6.53263,-0.0636804
-0.669087,0.83199,0.361566,4.44456,2.7645,-1.18038
-2.6727,-1.2892,0.253326,-2.09069,5.53769,1.61929
-1.03809,2.14043,0.925445,6.85616,2.34488,0.292349
-2.35767,-1.58716,0.539282,-2.65798,5.29908,1.31817
-0.787021,1.27688,0.865994,6.94644,2.82625,-0.529439
-1.24256,1.00682,-0.916192,3.02543,5.72326,-0.660942
0.893592,-0.736653,-0.539613,-3.60197,-4.52533,-0.71113
0.211043,1.46034,-0.851415,6.38232,0.114294,-0.607033
-0.744019,-0.72726,0.281433,-3.28864,4.05425,-1.62417
2.39414,1.39597,0.636361,2.64687,-5.23402,0.431303
0.850286,-1.48758,0.958062,-5.85948,-2.6748,-0.393892
0.231538,-0.975262,-0.0688123,-5.1311,-1.43255,-1.0832
0.0667547,0.997928,0.0178121,5.11009,-0.404367,-1.01026
1.45576,-1.42885,0.999207,-4.77313,-3.89573,-0.0367493
2.29127,0.883416,-0.890145,2.91409,-6.06851,-0.0278174
-0.559627,0.931296,0.406851,4.7498,2.33514,-1.12458
1.5037,2.07733,-0.825466,5.19006,-3.08613,0.00639886
-1.81093,0.584141,0.995266,3.14863,6.10567,-0.276686
0.84203,-2.81078,-0.356767,-6.05974,-2.02695,0.575467
0.335234,2.74261,0.646372,7.05232,-0.717746,0.608401
2.00798,0.680745,-0.992745,2.90784,-6.37302,-0.146525
-2.46985,1.6887,0.126495,2.48083,4.2575,1.0897
0.663067,1.97765,0.996309,6.79063,-3.06698,0.183646
2.26194,1.45053,-0.726584,3.51162,-5.24837,0.111673
-1.23564,-0.682665,0.808629,-1.55488,5.6803,-0.761896
-0.876943,2.77614,-0.411632,4.86776,1.37771,0.705382
-1.36666,-2.56148,-0.429091,-6.17358,2.7527,0.451231
0.720567,2.19492,-0.950682,6.29659,-1.38458,-0.184378
1.12674,-0.428892,0.607404,-2.3829,-5.00947,-0.589187
-1.73996,1.97084,-0.777402,3.46676,4.8421,0.639691
0.816701,0.637579,0.26627,3.02086,-4.38391,-0.833168
-1.86057,-1.95919,0.712295,-4.05374,4.41542,0.9537
2.33032,-1.14789,-0.801723,-2.61262,-6.3412,0.0208421
-2.23758,0.879791,-0.914616,1.49099,6.57344,0.35029
2.55116,-0.748304,0.752456,-2.01912,-6.15187,0.245054
-2.66848,0.00174684,-0.743734,-0.628514,6.49121,0.540705
-0.897979,0.45592,-0.118867,2.3836,4.53465,-1.48319
-1.42679,-1.34345,-0.999189,-6.22135,4.12363,-0.339327
1.88515,-0.058099,0.993486,-0.26045,-6.42596,0.275955
2.1023,-0.698538,0.976545,-2.21424,-5.6221,0.151335
-2.49833,0.640706,-0.815202,0.678756,6.58716,0.470464
0.0578519,-1.19037,-0.588871,-6.12935,-0.607007,-0.862226
-2.59905,0.0420918,0.800459,0.696042,6.31067,0.44168
-1.31203,-0.244411,0.746485,0.207284,5.95352,-0.992326
0.586992,-2.56647,-0.774361,-6.63609,-2.19281,0.352219
-0.876652,0.521013,0.197964,3.07569,4.08344,-1.38121
-0.144155,-1.47394,0.854758,-6.03032,0.94498,-0.421526
-0.352711,-1.41585,0.841101,-5.58507,2.00513,-0.468836
2.23196,-1.01521,-0.892019,-2.43839,-6.44363,-0.0153773
0.781115,0.688058,0.283218,3.16781,-4.26766,-0.83874
-0.387549,-2.92222,-0.318839,-6.58469,0.854416,0.443323
1.45362,-0.712982,0.924599,-3.12934,-4.68246,-0.302593
1.99941,-0.408477,-0.999171,-0.56226,-6.82894,-0.163126
1.76995,0.164015,0.97494,0.120388,-6.47357,0.241293
1.38301,-1.596,-0.993725,-5.01694,-5.73803,-0.1886
2.97302,-0.352921,0.110346,-0.460625,-5.72133,0.247191
2.5889,-0.713311,0.728198,-1.93077,-6.15422,0.253004
1.15357,1.56209,0.998309,5.45229,-4.66446,0.096463
