x,y,z,theta_0,theta_1
2.27698,1.01418,-0.870239,0.725782,2.45634
-0.56889,0.844953,0.192065,3.32145,6.09695
-0.958683,0.448926,-0.337258,3.71119,0.263059
1.21171,-0.262371,0.649676,0.618738,5.73515
-1.87751,-0.773985,-0.999526,3.88184,1.62802
-0.0905007,1.62317,-0.927304,2.02195,1.80826
0.0840289,1.60511,-0.919671,1.96089,1.78724
1.62904,-1.38043,-0.990809,6.09622,1.82923
0.180664,1.18244,0.594848,2.40848,5.78138
1.93784,1.92703,0.680349,1.14247,4.61467
-0.575781,2.34432,-0.910279,1.97777,2.47243
-1.23015,-0.739277,0.825231,4.26167,5.50982
-1.54826,-0.547435,-0.933796,4.07562,1.11644
1.09834,-2.78889,-0.0724074,5.11349,2.72555
-1.58016,-0.631103,-0.954419,4.05702,1.18336
-0.677281,2.75084,-0.553292,1.93937,2.73827
-2.55881,1.55929,0.0838132,2.58278,3.15145
0.500128,-1.09624,-0.60652,0.0741102,0.863609
-1.97423,-2.01196,0.574093,3.91592,3.44207
2.60731,-0.685573,-0.718106,0.0656528,2.26511
-2.02429,2.17188,-0.247182,2.36785,2.91799
-2.81588,-0.966296,0.21295,3.52707,3.35885
-2.21796,-1.4855,0.742842,3.71225,3.7518
1.44586,-2.03566,-0.867818,5.53072,1.94087
0.985285,1.27806,-0.922397,1.37158,1.98747
-2.49161,1.65895,-0.114993,2.54994,3.07387
1.7229,-1.09401,-0.999164,6.20274,1.85527
1.12749,0.312768,-0.557867,1.23214,0.805594
0.454444,-0.9246,-0.244082,0.15275,0.469423
-2.58425,1.51991,0.0619587,2.59008,3.15477
1.06271,-1.93871,-0.977514,5.49757,1.85864
1.2516,0.0783852,0.666003,0.940604,5.77321
-1.84153,2.08758,0.621081,2.33733,3.21966
0.918267,0.494577,-0.290043,1.55599,0.269204
-0.755715,-1.07692,0.729129,4.98944,5.58679
-0.18111,1.19957,-0.617158,2.66792,0.473169
-0.877774,-2.86298,0.104563,4.4122,3.22399
2.35436,-0.867706,0.860666,6.05983,4.57666
0.720763,0.737412,-0.247661,1.75635,0.194725
0.811544,-0.923105,-0.636976,0.203892,0.971817
2.67155,1.04735,0.493898,0.64584,4.02983
-0.98506,0.916099,-0.755808,3.16967,0.652661
-2.29879,1.08572,-0.840192,2.7819,2.41733
-1.76659,0.123971,0.973411,3.63922,5.37195
0.997954,-0.148675,-0.133624,1.09181,0.181342
0.455007,-2.79421,-0.556253,4.93069,2.25547
-0.6176,1.5932,-0.956638,2.27377,1.92397
-0.282021,2.25098,0.963257,1.93992,4.68148
1.94281,-2.25687,-0.208981,5.47922,3.48606
1.06748,-0.986057,0.83727,6.18073,5.47076
-2.44398,-0.164657,-0.89327,3.31452,2.54392
-0.583086,0.866205,0.293935,3.30565,6.06423
2.24613,-0.0717551,-0.968945,0.349003,2.16589
-1.15907,2.63547,-0.476665,2.01292,2.80183
1.15661,2.57075,-0.573857,1.19725,2.76459
1.70414,-1.59832,-0.941724,5.98323,1.87334
0.594502,-1.43946,0.896718,5.78162,5.38003
-1.40751,-2.48171,-0.521804,4.16311,2.75907
2.48342,-0.664088,0.821172,6.13301,4.50418
1.72891,-0.871166,0.997949,6.13255,5.03536
-0.0153388,-1.39375,-0.795338,5.57277,1.04939
1.2743,-1.52662,-0.999935,5.94267,1.78126
0.0528907,2.94993,0.311026,1.66511,3.31705
1.18808,1.45926,0.992984,1.54136,5.42357
-0.635414,-1.15688,0.733113,5.06704,5.5872
-0.567454,-2.51037,-0.819064,4.47985,2.37859
1.49365,2.60165,0.0120468,1.14457,3.05814
-2.19505,1.69038,-0.637445,2.53636,2.69126
1.26137,-0.797651,0.861603,6.27602,5.46202
-1.16411,-0.472799,-0.668696,4.37358,0.725686
-2.57307,-1.37972,-0.392756,3.69401,2.81503
1.0062,2.74759,0.377444,1.24948,3.22728
-1.02628,-0.169311,-0.28052,4.41204,0.318963
-2.15016,-0.318907,0.984803,3.58339,4.79031
1.44518,0.903642,-0.955325,1.09346,1.98203
2.39782,-0.273224,-0.910578,0.236227,2.21068
-1.82335,-0.877613,0.999722,3.82154,4.98534
2.63478,0.106155,-0.770935,0.257949,2.34512
0.346124,-2.41576,0.897788,4.97129,4.77844
0.998446,-0.137202,0.124883,1.04986,6.22747
-2.26283,-1.43345,0.734462,3.69987,3.75606
-0.698033,1.49113,0.935407,2.72507,5.61449
0.496199,1.1981,0.710975,2.17493,5.70384
-0.777847,-1.46969,-0.941448,4.79637,1.26943
0.538331,1.49844,0.913076,2.05326,5.62139
-0.8985,-0.47709,-0.185254,4.76217,0.252262
-1.1361,-0.850103,-0.813865,4.44563,1.01796
2.16099,-0.519912,-0.974899,0.183089,2.09541
1.55456,0.758732,0.962815,1.12028,5.3677
-2.93797,0.000501671,0.346703,3.24165,3.49182
-0.0771694,-2.07983,0.996693,4.89946,4.89379
0.45975,0.934403,-0.2847,1.98945,0.196115
-2.07374,1.75841,-0.695113,2.52051,2.65903
1.33936,0.558685,-0.835962,1.07575,1.77899
-0.183982,-1.20473,-0.624157,5.68714,0.830262
2.53836,1.56139,0.198309,0.74202,3.45525
-0.790568,0.612498,0.0123347,3.57571,6.25895
1.06008,-1.07994,0.873563,6.12237,5.44112
-1.40389,0.246833,0.818452,3.73597,5.54391
2.5315,-1.54864,-0.252412,5.84654,3.11258
0.251337,-2.50473,0.8558,4.94979,4.7556
2.45587,-1.44566,0.527139,5.88098,4.33361
1.15645,1.19191,0.940691,1.52149,5.47554
1.23137,0.613475,-0.781209,1.15886,1.67437
1.69682,0.802713,0.99242,1.07237,5.32672
1.17242,-1.26665,-0.96172,6.14047,1.68909
-1.10624,-1.2401,-0.941076,4.51907,1.27475
-1.07421,0.0231428,0.378651,4.11716,5.87715
1.29608,2.14647,-0.861702,1.23204,2.53357
-0.71596,-1.37793,0.89445,4.91848,5.45855
-0.532565,1.16935,-0.699037,2.82585,0.54101
-0.250985,-1.00045,-0.24883,5.74684,0.325407
-2.81073,0.714988,0.435386,2.97341,3.53143
-1.42483,-0.0669231,0.819139,3.87256,5.54092
0.265811,-1.04437,-0.386387,6.23668,0.622194
2.49545,1.64472,-0.149869,0.779374,3.01619
-1.94477,-1.04947,-0.97773,3.86044,1.88579
0.327832,0.95234,0.119677,2.33379,6.07022
0.832321,-2.1763,0.94397,5.2499,4.86885
-1.8703,0.13129,0.992144,3.58997,5.32306
2.95721,-0.210402,0.263413,6.24413,3.05462
0.461536,1.02983,-0.490434,1.93613,0.578358
1.08134,-0.255879,0.458295,0.741742,5.87067
0.458046,-1.38256,-0.839386,5.89278,1.25243
-1.01242,0.11976,-0.1964,4.09642,0.222045
0.440608,-1.04447,0.499361,6.11255,5.74994
-1.11928,-0.844223,0.801469,4.39259,5.51538
-1.66617,-2.45572,0.252475,4.11905,3.34684
2.56468,-1.54536,-0.106817,5.83358,3.47396
2.65076,1.15244,0.455095,0.674155,3.96609
1.52043,-2.57134,0.159326,5.30772,4.00823
