coeff_index,form0
0,0.021938
1,-0.0280533
2,-0.000125937
3,0.558581
4,0.365689
5,-0.0117067
6,-0.351251
7,0.591963
8,0.0122176
9,-0.13391
10,0.0110171
11,0.0424042
12,0.00130697
13,-0.0278297
14,-0.00029393
15,-0.0125655
16,-0.0661693
17,0.0183297
18,0.013156
19,-0.0534567
20,-0.00800771
21,0.0688075
22,0.0648897
23,0.00188104
24,0.030226
25,0.108784
26,-0.0361741
27,-0.232822
28,-0.227974
29,-0.0202457
30,-0.250827
31,0.16776
32,0.00260105
33,-0.020639
34,0.0265845
35,0.0108294
36,-0.0447109
37,-0.0107795
38,-0.0396925
39,-0.0143695
40,0.0144441
41,-0.0367619
42,-0.0217394
43,0.0290562
44,0.0358324
45,-0.010667
46,0.0109708
47,0.0117083
48,-0.0148683
49,0.0484987
50,-0.0232308
51,0.0727242
52,-0.0383706
53,0.0236663
54,0.00988147
55,0.00517414
56,-0.0159127
57,0.0498169
58,-0.00922292
59,-0.0722341
60,0.00111883
61,-0.00380494
62,-0.0142777
63,0.00682114
64,0.0636985
65,0.0252562
66,0.0749412
67,0.000259511
68,0.0245241
69,-0.0578853
70,0.0116426
71,0.00827224
72,0.0270535
73,-0.0175026
74,0.0100674
75,-0.0151179
76,-0.0270406
77,0.0213187
78,0.00538778
79,0.0131886
80,-0.00169775
81,0.0227872
82,-0.0185776
83,-0.00283588
84,-0.00553453
85,0.0359189
86,0.00504882
87,-0.0134912
88,-0.0165227
89,0.00326743
90,-0.00149905
91,-0.00614022
92,0.0172643
93,0.0177004
94,0.0286228
95,-0.00843263
96,0.0390282
97,-0.0313244
98,-0.018995
99,0.00942224
100,0.0175497
101,-0.0150668
102,-0.00181837
103,-0.0308892
104,0.0135225
105,-0.00404903
106,-0.0133017
107,0.00598284
108,-0.0178479
109,0.0168302
110,-0.0154194
111,-0.0101483
112,0.0280346
113,-0.00270098
114,-0.0150727
115,0.000851083
116,0.0244184
117,0.00320007
118,-0.00383123
119,-0.0183357
120,0.0025169
121,0.000216959
122,-0.00755699
123,-0.00200699
124,-0.0264628
125,-0.0037075
126,-0.00376819
127,0.00016624
128,0.00919082
129,-0.0152653
130,0.0155047
131,0.00110144
132,-0.0158565
133,3.9317e-05
134,-0.00582308
135,0.000616041
136,-0.0125346
137,-0.00439554
138,0.0120985
139,0.02415
140,-0.00364904
141,-0.0111682
142,-0.000452336
143,0.00676851
144,0.0120029
145,0.0161161
146,0.0115929
147,-0.00522575
148,0.00740301
149,0.00250425
