coeff_index,form0,form1,form2
0,-0.12389,-0.5489,-0.156337
1,-0.0614796,-0.00776412,-0.148956
2,-0.280593,-0.133549,-0.00490919
3,0.0372739,0.272453,0.0261107
4,2.23768,-0.660233,0.219112
5,-3.68914,0.459676,0.784782
6,-0.0539298,-0.059673,-0.0542965
7,3.64769,-0.398549,-0.723781
8,2.2994,-0.530629,0.337411
9,0.489806,2.60998,0.472248
10,0.109698,0.237784,-0.145989
11,0.324948,-0.209858,-0.305434
12,0.237958,1.16997,0.38116
13,-0.12536,-0.32344,0.00358145
14,0.0156693,-0.332389,-0.0422171
15,-0.047915,-0.729045,0.730277
16,-0.12351,-0.0188872,-0.197368
17,0.38629,0.00983001,0.0497746
18,-0.394786,-2.24158,-0.37563
19,0.0108993,0.485169,0.110005
20,-0.0467479,-0.0328855,-0.107911
21,-0.0312728,-0.261666,-0.105827
22,-0.422953,-2.2799,-0.455035
23,-0.16543,-0.772431,-0.0538991
24,0.0606873,0.178146,0.118284
25,0.127759,-0.676448,0.0768697
26,0.462112,2.38488,0.470005
27,-0.159622,-0.0275301,-0.0900511
28,-0.503343,-0.764692,0.171586
29,0.4689,0.223998,0.48211
30,-0.00654038,-0.874763,-0.0456719
31,0.231012,-0.344748,0.400106
32,0.384164,-0.0301418,-0.240922
33,0.053291,0.100425,-0.0836454
34,-0.0216419,0.0615217,0.0945829
35,0.0110847,-0.281105,-0.223101
36,0.00470628,0.0649781,-0.201811
37,-0.00969532,0.043328,-0.144053
38,0.115214,0.249189,0.0806303
39,-0.0407977,-0.168763,0.0156599
40,0.0337565,0.149267,0.0110357
41,-0.0515111,-0.0349569,-0.145936
42,0.00832163,-0.06955,-0.0384984
43,0.0354378,-0.324947,-0.0605249
44,-0.0383822,-0.248876,-0.109178
45,0.0324926,0.0337176,0.00226896
46,0.0810279,-0.116386,0.0360917
47,0.0143157,-0.095245,-0.0392053
48,0.00330585,0.0120249,0.0430068
49,0.0296601,0.104502,-0.0328218
50,-0.055601,-0.0193705,-0.160799
51,-0.0767509,-0.0597272,-0.022252
52,0.0302109,-0.120909,0.0280679
