x,y,z,theta_0,theta_1
-1.95387,-2.27208,0.0816387,3.97765,5.76598
-0.306213,2.45033,-0.882991,1.91569,0.912929
0.967313,0.254681,0.0236018,1.42074,2.95876
1.07415,0.111949,0.391847,1.14514,3.41034
0.463675,-1.10426,-0.596871,0.0586668,2.45834
2.20874,-1.34864,-0.808913,6.11471,1.00416
-1.36669,-1.0828,0.966583,4.22416,4.08124
-0.24283,-1.8745,0.993949,4.88773,4.30845
-2.84183,-0.79907,0.305993,3.48296,5.78985
1.74146,-0.752654,0.994696,6.15647,4.46342
1.1719,-2.66874,0.404124,5.22267,5.5837
2.96566,0.0510337,0.258162,6.28216,6.11336
0.658751,-0.82327,-0.325288,0.299154,2.64745
2.35053,0.503516,0.914823,0.428825,5.0155
-0.368816,-2.86951,0.44983,4.58706,5.11792
1.29069,2.55912,-0.499738,1.16289,0.274589
1.6932,-1.96544,0.804316,5.51731,5.04308
-2.73227,-0.72833,0.561204,3.49012,5.60447
-0.916684,2.83874,-0.183195,1.95686,6.08261
-1.32792,0.701098,-0.866967,3.16824,1.89605
1.81906,0.32714,-0.988418,0.709616,1.49369
0.76556,0.758696,-0.386766,1.69848,2.60438
-1.38891,-2.55007,0.427994,4.21822,5.25947
-1.53249,-2.03281,-0.837949,4.12307,0.531172
-0.84561,-0.74915,0.492569,5.00237,3.24712
-0.908174,0.814174,0.6254,3.31249,3.3985
2.65944,-0.0466261,0.751395,0.0995245,5.28453
2.73749,-0.331238,0.652881,6.23336,5.43724
-0.397863,-0.928065,-0.139321,5.65938,2.71388
-0.639216,-0.885165,-0.418623,5.33484,2.51494
-0.379778,-0.932515,-0.117135,5.67084,2.72811
-0.951705,0.798243,-0.652428,3.31448,2.14204
1.79671,2.04046,-0.695265,1.07977,0.589589
-0.17825,-0.98434,-0.0264167,5.79593,2.83379
-1.25857,-0.202211,0.688441,4.06634,3.57347
-0.723818,1.82007,0.999147,2.52369,4.17417
-1.64384,0.146687,0.936887,3.68042,3.99334
0.823865,-0.686038,-0.372835,0.434383,2.64307
2.08813,-0.918554,-0.959638,6.26325,1.12802
-0.669087,0.83199,0.361566,3.33534,3.0981
-2.6727,-1.2892,0.253326,3.59009,5.81335
-1.03809,2.14043,0.925445,2.30849,4.75236
-2.35767,-1.58716,0.539282,3.7173,5.39965
-0.787021,1.27688,0.865994,2.89452,3.76725
-1.24256,1.00682,-0.916192,2.98756,1.84057
0.893592,-0.736653,-0.539613,0.348641,2.47836
0.211043,1.46034,-0.851415,1.9407,1.74074
-0.744019,-0.72726,0.281433,5.20918,3.08373
2.39414,1.39597,0.636361,0.751741,5.45561
0.850286,-1.48758,0.958062,5.76297,4.04454
0.231538,-0.975262,-0.0688123,6.2616,2.88128
0.0667547,0.997928,0.0178121,2.59722,2.91217
1.45576,-1.42885,0.999207,5.74945,4.46872
2.29127,0.883416,-0.890145,0.691887,0.991323
-0.559627,0.931296,0.406851,3.24793,3.12942
1.5037,2.07733,-0.825466,1.16518,0.767742
-1.81093,0.584141,0.995266,3.36884,4.25401
0.84203,-2.81078,-0.356767,5.02105,0.284979
0.335234,2.74261,0.646372,1.65171,5.19671
2.00798,0.680745,-0.992745,0.760974,1.34203
-2.46985,1.6887,0.126495,2.54845,5.75844
0.663067,1.97765,0.996309,1.73107,4.46675
2.26194,1.45053,-0.726584,0.799597,0.654661
-1.23564,-0.682665,0.808629,4.25165,3.75474
-0.876943,2.77614,-0.411632,1.95187,6.24575
-1.36666,-2.56148,-0.429091,4.1765,6.08269
0.720567,2.19492,-0.950682,1.47735,1.09999
1.12674,-0.428892,0.607404,0.497419,3.65569
-1.73996,1.97084,-0.777402,2.45987,0.786045
0.816701,0.637579,0.26627,1.76039,3.12706
-1.86057,-1.95919,0.712295,3.95784,5.29228
2.33032,-1.14789,-0.801723,6.15908,0.996457
-2.23758,0.879791,-0.914616,2.85236,1.10743
2.55116,-0.748304,0.752456,6.10523,5.09709
-2.66848,0.00174684,-0.743734,3.17494,0.408334
-0.897979,0.45592,-0.118867,3.70501,2.6584
-1.42679,-1.34345,-0.999189,4.28319,1.49001
1.88515,-0.058099,0.993486,0.372298,4.58747
2.1023,-0.698538,0.976545,6.14091,4.72976
-2.49833,0.640706,-0.815202,2.94358,0.641001
0.0578519,-1.19037,-0.588871,5.8448,2.32929
-2.59905,0.0420918,0.800459,3.33914,5.32538
-1.31203,-0.244411,0.746485,4.05098,3.62923
0.586992,-2.56647,-0.774361,5.00565,0.589778
-0.876652,0.521013,0.197964,3.61789,2.93971
-0.144155,-1.47394,0.854758,5.33709,3.7962
-0.352711,-1.41585,0.841101,5.20853,3.7576
2.23196,-1.01521,-0.892019,6.20954,1.04906
0.781115,0.688058,0.283218,1.79137,3.13519
-0.387549,-2.92222,-0.318839,4.4974,5.88011
1.45362,-0.712982,0.924599,6.26455,4.17755
1.99941,-0.408477,-0.999171,0.251503,1.1984
1.76995,0.164015,0.97494,0.482076,4.54835
1.38301,-1.596,-0.993725,5.91414,1.3854
2.97302,-0.352921,0.110346,6.23684,6.10463
2.5889,-0.713311,0.728198,6.11596,5.12944
1.15357,1.56209,0.998309,1.55227,4.47547
2.64536,-0.459483,-0.728573,0.112286,0.723891
1.20165,-0.994913,0.898032,6.17756,3.93435
0.441578,-0.903185,0.103327,0.117784,3.03642
-2.76025,0.348914,0.623007,3.1648,5.56879
0.120087,1.07983,-0.406803,2.44833,2.44373
0.904194,-2.67486,0.567241,5.13336,5.29966
2.3319,-1.21542,0.776892,5.94559,5.00132
-0.234205,2.30294,-0.949151,1.9093,0.9798
-1.97757,-0.493664,0.999268,3.67685,4.7118
-2.73954,1.03022,0.375437,2.77026,5.61825
1.08702,-0.50305,-0.597023,0.531428,2.34111
2.52149,0.656039,0.795897,0.484814,5.2259
-0.332298,-2.92663,0.3258,4.5829,5.18863
