mode,lambda
0,0.134818
1,0.170359
2,0.17217
3,0.229343
4,0.24123
5,0.289651
6,0.298544
7,0.323932
8,0.33587
9,0.355351
10,0.38794
11,0.394299
12,0.405024
13,0.424492
14,0.446363
15,0.455684
16,0.462478
17,0.482989
18,0.51828
19,0.533285
20,0.549611
21,0.569919
22,0.581267
23,0.58779
24,0.609464
25,0.627028
26,0.633066
27,0.65096
28,0.658359
29,0.687323
30,0.717303
31,0.735754
32,0.74494
33,0.765962
34,0.770386
35,0.79815
36,0.813495
37,0.840603
38,0.855069
39,0.861085
40,0.882563
41,0.895067
42,0.914506
43,0.923978
44,0.95338
45,0.957909
46,0.974955
47,0.996141
48,1.02589
49,1.03867
50,1.05389
51,1.06926
52,1.09241
53,1.11424
54,1.1295
55,1.17553
56,1.19127
57,1.20347
58,1.21658
59,1.25599
60,1.26256
61,1.30374
62,1.31974
63,1.34042
64,1.35866
65,1.37471
66,1.43039
67,1.43542
68,1.47983
69,1.51154
70,1.53609
71,1.54587
72,1.57069
73,1.6251
74,1.63101
75,1.6707
76,1.67957
77,1.68781
78,1.72299
79,1.77203
80,1.77373
81,1.81408
82,1.83525
83,1.86404
84,1.88693
85,1.93023
86,1.94435
87,1.96267
88,1.9802
89,2.05193
90,2.06988
91,2.09593
92,2.13918
93,2.16237
94,2.23882
95,2.26966
96,2.29683
97,2.32352
98,2.32882
99,2.38302
100,2.41348
101,2.43378
102,2.46569
103,2.50846
104,2.56316
105,2.62205
106,2.65149
107,2.78306
108,2.80659
109,2.84173
110,2.85479
111,2.91133
112,2.9917
113,3.06826
114,3.07847
115,3.13243
116,3.1579
117,3.22476
118,3.28391
119,3.37039
120,3.47674
121,3.51626
122,3.52196
123,3.6781
124,3.73389
125,3.81774
126,4.02555
127,4.02971
128,4.16143
129,4.23966
130,4.456
131,4.59776
132,4.71982
133,4.82014
134,4.9629
135,5.09374
136,5.23269
137,5.5101
138,5.77959
139,6.01538
140,6.20094
141,6.41113
142,6.44472
143,6.68525
144,7.01841
145,7.66778
146,7.88933
147,9.37553
148,9.39218
149,10.2414
