coeff_index,form0
0,-0.079279
1,-0.211684
2,-0.350948
3,0.184249
4,-0.319794
5,-4.99585
6,4.22452
7,-2.48858
8,0.342967
9,-2.48078
10,-4.20557
11,0.193012
12,0.106976
13,-0.0610535
14,0.102719
15,0.122785
16,-0.147562
17,-0.18861
18,-0.0619427
19,-0.0171727
20,-0.139224
21,-0.066785
22,-0.00372005
23,-0.159846
24,0.12208
25,-0.0514723
26,-0.123509
27,-0.0264992
28,-0.0801966
29,0.132366
30,0.055605
31,-0.0400392
32,0.0162575
33,0.0183917
34,-0.0956283
35,-0.0327172
36,0.0909371
37,0.030089
38,-0.0948489
39,-0.0422097
40,0.095485
41,0.0645827
42,-0.089532
43,-0.00157323
44,0.0859747
45,-0.0660634
46,0.00908322
47,0.0837887
48,0.0140128
49,0.0960997
50,0.0350586
51,-0.0800459
52,-0.091002
53,0.113522
54,0.0618854
55,-0.0558631
56,-0.0993263
57,-0.00447368
58,0.0427996
59,-0.0317159
60,-0.0230265
61,0.0280475
62,-0.0557958
63,0.138504
64,-0.0613775
65,-0.0185016
66,0.0240958
67,0.00212006
68,0.0130875
69,-0.0239362
70,0.0298047
71,0.0568351
72,-0.112112
73,-0.0435788
74,-0.0167565
75,0.00837812
76,0.0267156
77,0.00186628
78,-0.00434057
79,0.039822
80,-0.0570944
81,0.0236395
82,0.0119819
83,0.0120503
84,-0.0167512
85,0.0715781
86,0.131209
87,0.0598257
88,0.0233386
89,0.0234035
90,0.0513684
91,-0.0686151
92,-0.0225947
93,0.00527252
94,0.0246005
95,0.00773701
96,-0.00245297
97,-0.00538872
98,-0.0420327
99,0.0185097
100,0.0133672
101,-0.0014668
102,-0.0338635
103,-0.0145705
104,-0.0198054
105,-0.0801995
106,-0.0304504
107,-0.0802904
108,-0.0662711
109,0.058649
110,0.061892
111,0.0399467
112,0.0114941
113,-0.0339251
114,-0.0430167
115,0.0378288
116,0.0276623
117,-0.0662548
118,0.0418175
119,-0.00212643
120,-0.0717078
121,0.00893605
122,0.00844006
123,-0.00603136
124,0.0203276
125,0.0127916
126,-0.00465367
127,0.0345897
128,0.00955235
129,0.0380466
130,-0.0353043
131,0.026454
132,0.0149106
133,-0.00762781
134,-0.00940259
135,-0.00250194
136,0.00442319
137,-0.0296078
138,0.0180907
139,-0.0577544
140,-0.030959
141,-0.0329213
142,0.00482527
143,-0.0259218
144,0.0112752
145,-0.00999617
146,0.0128263
147,-0.0196681
148,-0.0251154
149,0.030923
